Timestamp Beacon Rssi
0.2776 30 -81
0.507754 5 -76
0.665215 21 -77
0.67709 8 -80
0.708892 1 -82
0.766036 2 -79
0.823695 4 -77
0.883472 55 -72
0.936257 53 -78
1.123155 3 -75
1.278593 30 -81
1.515821 5 -76
1.769596 2 -79
1.832626 4 -80
1.885473 55 -72
1.944669 53 -78
2.127587 3 -72
2.283156 30 -81
2.546893 28 -82
2.581325 26 -81
2.670166 21 -78
2.692017 8 -80
2.834019 4 -79
2.945055 53 -77
3.130248 3 -71
3.29306 30 -82
3.365625 27 -82
3.526064 5 -76
3.6787 21 -79
3.69292 8 -78
3.891338 55 -75
4.139593 3 -71
4.372687 27 -81
4.526075 5 -77
4.693853 8 -77
4.724677 1 -77
4.948573 53 -78
5.142682 3 -72
5.685696 21 -81
5.700005 8 -77
5.733109 1 -77
5.906235 55 -76
5.952255 53 -77
6.38431 27 -79
6.538608 5 -78
6.740443 1 -78
6.915041 55 -76
6.952579 53 -77
7.156671 3 -70
7.386733 27 -81
7.71011 8 -79
7.747196 1 -78
7.924855 55 -75
7.959374 53 -78
8.161072 3 -70
8.539428 46 -81
8.550866 5 -76
8.75273 1 -79
8.930213 55 -74
8.968518 53 -79
9.163062 3 -72
9.425331 20 -82
9.559695 5 -75
9.704388 21 -80
9.725251 8 -79
9.973054 53 -80
10.171888 3 -75
10.76642 1 -78
10.810293 2 -78
10.871319 4 -60
11.178577 3 -68
11.415135 27 -79
11.419527 6 -73
11.56405 5 -78
11.591516 28 -76
11.748363 29 -80
11.772075 1 -78
11.88147 4 -64
11.937987 55 -74
11.986551 53 -78
12.042242 31 -82
12.087342 9 -78
12.184809 3 -71
12.42024 6 -73
12.567289 46 -81
12.56998 5 -60
12.701183 50 -85
12.717903 21 -80
12.756459 29 -75
12.889364 4 -67
12.945298 55 -76
12.994719 53 -79
13.087995 9 -79
13.344768 30 -76
13.420495 6 -79
13.421198 16 -82
13.433562 27 -84
13.443593 20 -69
13.536046 10 -81
13.570143 5 -55
13.757108 29 -75
13.895639 4 -80
13.89743 44 -75
13.946384 55 -76
14.00255 53 -72
14.043266 31 -78
14.399787 11 -79
14.426945 6 -64
14.451539 20 -76
14.575677 5 -68
14.673247 34 -84
14.748074 8 -76
14.765723 29 -75
14.821141 56 -80
14.898375 4 -79
14.899518 44 -77
15.049195 31 -78
15.197584 3 -82
15.224686 54 -74
15.312064 60 -79
15.43489 6 -62
15.453197 20 -82
15.577732 5 -71
15.750899 8 -69
15.770369 29 -76
15.900257 4 -79
15.962562 55 -71
16.012334 19 -72
16.094987 9 -74
16.147804 12 -79
16.202992 3 -80
16.314823 60 -76
16.360056 52 -79
16.406787 17 -86
16.444697 6 -54
16.625535 28 -85
16.752137 8 -76
16.779319 29 -74
16.841534 2 -82
16.964655 55 -74
17.017139 19 -76
17.055285 31 -75
17.102047 9 -83
17.237183 54 -85
17.317308 60 -69
17.362228 30 -76
17.368587 52 -78
17.446996 6 -66
17.504631 57 -78
17.595788 5 -75
17.759387 8 -72
17.968976 55 -70
18.10922 32 -81
18.318816 60 -63
18.362581 30 -52
18.443401 16 -80
18.449509 6 -70
18.596042 5 -52
18.76206 8 -68
18.970214 55 -73
19.011279 18 -74
19.02736 19 -78
19.063938 31 -76
19.109272 9 -72
19.118022 32 -72
19.320599 60 -58
19.445003 16 -58
19.455989 6 -81
19.76342 8 -68
19.849096 56 -78
20.012845 18 -75
20.030059 19 -81
20.06416 31 -78
20.097683 59 -83
20.118865 9 -71
20.126396 32 -73
20.329767 60 -69
20.379702 30 -75
20.426485 17 -80
20.463721 6 -76
20.577821 10 -55
20.766733 8 -59
20.831837 15 -81
20.849291 56 -78
21.06606 31 -75
21.109591 36 -83
21.122782 9 -79
21.134221 32 -73
21.158408 12 -78
21.337928 60 -68
21.442607 11 -83
21.468736 6 -76
21.770443 8 -61
21.85321 56 -81
21.990681 55 -78
22.075742 31 -80
22.130026 9 -73
22.136125 32 -76
22.1584 12 -78
22.222042 3 -79
22.338856 60 -73
22.395725 30 -72
22.444063 11 -76
22.473935 6 -75
22.593358 10 -72
22.661427 28 -82
22.7722 8 -68
22.854077 56 -78
22.872163 2 -61
22.937749 4 -82
22.996924 55 -63
23.142821 32 -77
23.346407 60 -76
