Beacon Rssi
1 -78
1 -82
1 -82
1 -83
1 -84
1 -81
1 -84
1 -84
1 -81
1 -76
1 -76
1 -79
1 -78
1 -75
1 -73
1 -74
1 -76
1 -78
1 -76
1 -76
1 -77
1 -78
1 -77
1 -76
1 -78
1 -76
1 -79
1 -82
1 -73
1 -76
1 -76
1 -76
1 -75
1 -76
1 -76
1 -78
1 -78
1 -80
1 -80
1 -80
1 -77
1 -73
1 -76
1 -78
2 -80
2 -72
2 -83
2 -83
2 -81
2 -83
2 -87
2 -83
2 -82
2 -82
2 -81
2 -75
2 -74
2 -75
2 -76
2 -79
2 -80
2 -79
2 -80
2 -80
2 -78
2 -80
2 -81
2 -82
2 -85
2 -78
2 -78
2 -78
2 -76
2 -82
2 -83
3 -76
3 -76
3 -68
3 -70
3 -70
3 -70
3 -70
3 -70
3 -70
3 -67
3 -69
3 -70
3 -70
3 -72
3 -80
3 -76
3 -78
3 -84
3 -72
3 -72
3 -73
3 -75
3 -75
3 -76
3 -57
3 -76
3 -76
3 -76
3 -72
3 -71
3 -71
3 -70
3 -70
3 -72
3 -82
3 -80
3 -76
3 -80
3 -74
3 -72
3 -83
3 -78
3 -78
3 -79
4 -78
4 -84
4 -83
4 -80
4 -86
4 -78
4 -79
4 -79
4 -79
4 -78
4 -76
4 -76
4 -76
4 -73
4 -78
4 -78
4 -78
4 -79
4 -78
4 -74
4 -81
5 -79
5 -66
5 -78
5 -79
5 -86
5 -84
5 -77
5 -77
5 -77
5 -78
5 -75
5 -76
5 -76
5 -76
5 -78
5 -78
5 -77
5 -77
5 -78
5 -78
5 -77
5 -70
5 -78
5 -61
5 -77
5 -84
5 -81
5 -83
5 -81
5 -76
5 -82
5 -81
5 -81
6 -79
6 -76
6 -79
6 -83
6 -80
6 -82
6 -78
6 -79
6 -83
6 -76
6 -78
6 -78
6 -81
6 -81
6 -78
6 -78
6 -84
6 -84
6 -81
6 -82
6 -76
6 -77
6 -85
6 -83
6 -82
6 -82
6 -83
6 -80
6 -76
7 -74
7 -73
7 -72
7 -82
7 -78
7 -76
7 -78
7 -78
7 -78
7 -68
7 -72
7 -72
7 -71
7 -73
7 -72
7 -70
7 -73
7 -75
7 -76
7 -77
7 -73
7 -72
7 -72
7 -72
7 -72
7 -73
7 -73
7 -70
7 -70
7 -72
7 -71
7 -73
7 -71
7 -72
7 -77
7 -76
7 -76
7 -76
7 -75
7 -76
7 -76
7 -76
7 -77
7 -78
7 -79
7 -80
8 -85
8 -86
8 -83
8 -84
8 -85
9 -85
9 -82
9 -30
9 -83
9 -80
9 -79
9 -79
9 -81
9 -80
9 -81
9 -81
9 -80
9 -79
9 -80
9 -84
9 -82
9 -85
9 -78
9 -77
9 -79
9 -80
9 -79
9 -84
10 -84
10 -80
10 -80
10 -81
10 -81
10 -82
10 -81
10 -81
10 -84
10 -84
10 -81
10 -80
10 -80
10 -80
10 -80
10 -80
10 -81
10 -81
10 -80
10 -80
10 -80
10 -80
10 -80
10 -81
10 -82
10 -78
10 -85
10 -83
10 -84
10 -83
10 -80
10 -83
11 -81
11 -77
11 -83
11 -78
11 -80
11 -76
11 -80
11 -78
11 -82
11 -84
11 -86
11 -84
11 -79
11 -72
11 -72
11 -73
11 -72
11 -71
