Beacon Rssi
1 -80
1 -80
1 -78
1 -83
1 -81
1 -78
1 -82
1 -82
1 -78
1 -75
1 -83
1 -78
1 -77
1 -77
1 -78
1 -78
1 -72
1 -77
1 -76
1 -77
1 -77
1 -77
1 -77
1 -78
1 -77
1 -77
1 -76
1 -77
1 -77
1 -77
1 -77
1 -77
1 -77
1 -77
1 -78
1 -78
1 -79
1 -79
1 -79
1 -80
1 -81
1 -84
1 -80
1 -80
1 -80
1 -79
1 -78
1 -77
1 -78
1 -80
1 -80
1 -79
1 -80
1 -86
1 -80
1 -80
2 -78
2 -78
2 -72
2 -73
2 -72
2 -73
2 -73
2 -74
2 -74
2 -75
2 -74
2 -74
2 -74
2 -79
2 -72
2 -80
2 -79
2 -79
2 -74
2 -78
2 -78
2 -80
2 -81
2 -82
2 -80
2 -81
2 -80
2 -80
2 -81
2 -81
2 -83
2 -82
2 -83
2 -82
2 -81
2 -76
2 -78
2 -80
2 -78
2 -81
2 -82
2 -82
2 -81
2 -81
2 -80
3 -77
3 -82
3 -78
3 -76
3 -74
3 -72
3 -80
3 -79
3 -79
3 -78
3 -80
3 -81
3 -79
3 -82
3 -84
3 -77
3 -77
3 -82
3 -86
3 -78
3 -78
3 -78
3 -76
3 -76
3 -77
3 -78
3 -77
3 -76
3 -78
3 -77
3 -77
3 -78
3 -77
3 -78
3 -76
3 -76
3 -61
3 -79
3 -78
3 -76
3 -76
3 -75
3 -77
3 -85
3 -83
3 -78
3 -78
3 -80
3 -79
3 -81
3 -79
3 -80
3 -79
3 -78
3 -78
3 -79
3 -78
3 -81
4 -83
4 -83
4 -82
4 -80
4 -79
4 -79
4 -76
4 -74
4 -74
4 -79
4 -83
4 -84
4 -83
4 -82
4 -82
4 -81
4 -82
4 -81
4 -83
4 -82
4 -82
4 -84
6 -80
6 -82
6 -84
6 -80
6 -79
6 -78
6 -81
6 -79
6 -77
6 -79
6 -78
6 -78
6 -79
6 -81
6 -78
6 -78
6 -71
6 -81
6 -78
6 -79
6 -55
6 -78
6 -78
6 -78
6 -79
6 -79
6 -79
6 -78
6 -79
6 -80
6 -81
6 -79
6 -78
6 -79
6 -79
6 -80
6 -78
6 -82
6 -83
6 -82
6 -82
6 -81
6 -79
6 -81
6 -83
6 -80
6 -78
6 -80
6 -79
6 -81
6 -81
7 -75
7 -76
7 -75
7 -79
7 -80
7 -80
7 -78
7 -80
7 -80
7 -77
7 -78
7 -78
7 -79
7 -77
7 -77
7 -80
7 -82
7 -82
7 -80
7 -82
7 -80
7 -82
7 -82
7 -78
7 -80
7 -83
7 -79
7 -81
7 -78
7 -84
9 -86
9 -84
11 -82
11 -82
11 -80
11 -80
11 -80
11 -82
11 -81
11 -82
11 -81
11 -83
11 -82
11 -82
11 -80
11 -82
11 -81
11 -79
11 -81
11 -82
11 -80
11 -80
11 -81
11 -79
11 -80
11 -82
11 -81
11 -80
11 -82
11 -81
11 -85
11 -83
11 -86
11 -84
11 -82
11 -81
11 -82
11 -80
11 -81
11 -81
12 -84
12 -84
13 -80
13 -80
13 -79
13 -78
13 -84
13 -78
13 -83
13 -80
13 -79
13 -79
13 -81
13 -80
13 -81
13 -81
13 -78
13 -81
13 -80
13 -74
13 -76
13 -80
13 -75
13 -81
13 -82
13 -85
13 -81
13 -79
13 -78
13 -80
13 -76
13 -83
14 -73
14 -74
14 -74
14 -78
14 -78
14 -79
14 -76
14 -55
14 -76
14 -77
14 -76
14 -76
14 -77
14 -76
14 -76
14 -76
14 -69
14 -75
14 -82
14 -80
14 -79
14 -83
14 -84
14 -83
14 -85
14 -85
14 -82
14 -81
14 -81
14 -82
14 -82
14 -81
14 -78
14 -77
14 -78
14 -77
14 -77
14 -78
14 -78
14 -78
14 -80
14 -81
14 -76
14 -75
14 -78
14 -76
14 -76
14 -79
14 -82
14 -78
14 -77
14 -76
14 -76
14 -76
14 -78
14 -78
15 -72
15 -72
15 -72
15 -73
15 -75
15 -70
15 -70
15 -70
15 -71
15 -71
15 -67
15 -73
15 -72
15 -72
15 -74
15 -73
15 -74
15 -70
15 -74
15 -78
15 -76
15 -82
15 -79
15 -79
15 -78
15 -79
15 -78
15 -73
15 -81
15 -81
15 -79
15 -78
15 -79
15 -78
15 -78
15 -81
15 -78
15 -82
15 -80
15 -81
15 -79
15 -83
15 -78
15 -80
15 -81
15 -79
15 -78
15 -79
15 -79
15 -76
15 -79
15 -79
16 -76
16 -78
16 -80
16 -80
16 -76
16 -74
16 -75
16 -76
16 -74
16 -74
16 -75
16 -76
16 -75
16 -74
16 -75
16 -74
16 -74
16 -71
16 -78
16 -79
16 -78
16 -78
16 -78
16 -79
16 -79
16 -63
16 -83
16 -81
16 -82
16 -82
16 -83
16 -81
16 -78
16 -78
16 -79
16 -79
16 -76
16 -78
16 -79
16 -80
16 -78
16 -77
16 -82
16 -79
16 -81
16 -80
17 -84
17 -80
17 -79
17 -84
17 -83
17 -84
17 -85
17 -83
17 -82
17 -82
17 -83
17 -81
17 -83
17 -83
17 -83
17 -82
17 -83
17 -84
17 -83
17 -83
17 -83
17 -82
18 -82
18 -83
18 -86
19 -86
19 -85
19 -87
20 -84
20 -84
20 -83
20 -84
20 -73
20 -83
20 -83
20 -83
20 -83
20 -83
21 -79
21 -82
21 -81
21 -83
21 -82
21 -82
21 -87
22 -85
22 -85
22 -82
22 -84
22 -85
22 -83
22 -83
22 -84
22 -81
22 -83
22 -69
22 -86
22 -84
22 -82
22 -80
22 -80
22 -79
22 -83
22 -80
22 -82
22 -86
23 -82
23 -83
23 -84
23 -83
23 -87
23 -88
23 -85
24 -84
24 -82
24 -78
24 -75
24 -82
24 -81
24 -81
24 -79
24 -84
24 -84
24 -83
24 -80
24 -83
24 -82
24 -82
24 -80
24 -80
24 -83
24 -80
24 -81
24 -83
24 -82
24 -80
24 -81
24 -82
24 -72
24 -80
24 -78
24 -78
24 -77
24 -77
24 -79
24 -78
24 -76
24 -77
24 -78
24 -78
24 -77
24 -79
24 -78
24 -78
25 -76
25 -76
25 -79
25 -76
25 -77
25 -76
25 -76
25 -76
25 -76
25 -78
25 -76
25 -74
25 -75
25 -79
25 -80
25 -80
25 -80
25 -81
25 -78
25 -78
25 -79
25 -79
25 -79
25 -81
25 -82
25 -80
25 -79
25 -79
25 -80
25 -78
25 -78
25 -78
25 -78
25 -78
25 -78
25 -80
25 -78
25 -79
25 -78
25 -80
25 -78
25 -76
25 -75
25 -72
25 -77
25 -78
25 -77
25 -76
25 -76
25 -76
25 -76
25 -76
25 -76
25 -75
25 -76
25 -76
25 -75
25 -75
25 -75
25 -78
26 -69
26 -70
26 -70
26 -66
26 -68
26 -70
26 -70
26 -69
26 -71
26 -74
26 -75
26 -70
26 -72
26 -72
26 -70
26 -68
26 -68
26 -70
26 -70
26 -64
26 -69
26 -64
26 -64
26 -67
26 -66
26 -68
26 -70
26 -70
26 -68
26 -70
26 -70
26 -70
26 -66
26 -66
26 -62
26 -66
26 -69
26 -71
26 -70
26 -73
26 -72
26 -69
26 -75
26 -72
26 -72
26 -71
26 -71
26 -70
26 -70
26 -71
26 -72
26 -73
26 -72
26 -72
26 -68
26 -71
26 -72
26 -71
26 -70
26 -70
26 -70
26 -70
26 -73
26 -72
26 -74
26 -73
26 -72
26 -73
26 -74
26 -74
26 -73
26 -73
26 -72
26 -72
26 -70
26 -67
26 -66
26 -66
26 -70
26 -72
26 -73
26 -75
26 -73
26 -73
26 -72
26 -72
26 -70
26 -76
26 -68
26 -58
26 -64
26 -71
26 -77
26 -76
26 -76
26 -72
26 -76
26 -78
26 -73
26 -76
26 -73
26 -74
26 -74
26 -78
26 -77
26 -76
26 -72
26 -75
26 -73
26 -73
26 -74
26 -72
26 -73
26 -72
26 -72
26 -72
26 -71
27 -66
27 -67
27 -65
27 -64
27 -70
27 -67
27 -70
27 -68
27 -68
27 -69
27 -69
27 -69
27 -67
27 -70
27 -74
27 -64
27 -61
27 -64
27 -64
27 -64
27 -69
27 -66
27 -63
27 -62
27 -63
27 -63
27 -63
27 -63
27 -61
27 -61
27 -61
27 -61
27 -61
27 -63
27 -64
27 -64
27 -64
27 -63
27 -64
27 -64
27 -65
27 -63
27 -64
27 -64
27 -64
27 -64
27 -64
27 -64
27 -64
27 -64
27 -64
27 -64
27 -64
27 -64
27 -64
27 -64
27 -64
27 -54
27 -64
27 -64
27 -65
27 -64
27 -63
27 -63
27 -64
27 -64
27 -64
27 -64
27 -64
27 -63
27 -62
27 -61
27 -62
27 -62
27 -62
27 -63
27 -64
27 -64
27 -64
27 -64
27 -52
27 -64
27 -64
27 -63
27 -63
27 -65
27 -63
27 -64
27 -64
27 -62
27 -64
27 -63
27 -62
27 -60
27 -61
27 -62
27 -63
27 -64
27 -67
27 -66
27 -65
27 -65
27 -64
27 -64
27 -64
27 -64
27 -64
27 -65
27 -69
27 -70
27 -70
27 -70
27 -70
28 -62
28 -62
28 -60
28 -65
28 -63
28 -68
28 -62
28 -62
28 -65
28 -66
28 -66
28 -63
28 -62
28 -61
28 -62
28 -61
28 -61
28 -61
28 -59
28 -64
28 -72
28 -73
28 -66
28 -68
28 -69
28 -71
28 -58
28 -59
28 -63
28 -64
28 -63
28 -61
28 -62
28 -62
28 -64
28 -64
28 -65
28 -65
28 -64
28 -62
28 -60
28 -60
28 -60
28 -58
28 -60
28 -59
28 -58
28 -59
28 -59
28 -58
28 -58
28 -58
28 -58
28 -59
28 -60
28 -59
28 -58
28 -58
28 -59
28 -58
28 -59
28 -58
28 -58
28 -60
28 -58
28 -58
28 -60
28 -59
28 -60
28 -61
28 -61
28 -59
28 -59
28 -60
28 -61
28 -60
28 -61
28 -62
28 -63
28 -62
28 -65
28 -66
28 -65
28 -66
