Timestamp Beacon Rssi
0.010741 24 -80
0.021847 4 -70
0.024685 20 -77
0.03116 1 -67
0.038884 33 -81
0.048068 6 -66
0.05114 5 -69
0.061144 16 -81
0.083423 9 -76
0.088487 11 -59
0.090822 3 -63
0.093359 15 -84
0.098896 21 -73
0.102354 8 -74
0.106673 12 -60
0.123314 4 -70
0.127494 20 -78
0.135959 2 -67
0.137569 1 -74
0.143155 23 -80
0.143768 10 -76
0.150419 6 -66
0.1599 5 -69
0.167811 27 -72
0.170118 16 -81
0.18968 9 -75
0.193005 11 -58
0.19955 3 -63
0.203597 21 -73
0.205255 8 -73
0.211415 32 -72
0.211986 12 -60
0.22408 24 -80
0.231861 4 -69
0.240904 7 -78
0.241965 1 -74
0.243193 2 -67
0.252189 23 -80
0.255577 6 -66
0.268171 5 -68
0.278023 16 -82
0.298348 9 -75
0.299416 11 -58
0.30242 3 -63
0.304729 21 -72
0.309077 13 -83
0.311238 8 -75
0.31237 29 -81
0.318976 12 -60
0.334609 4 -70
0.347093 1 -74
0.348807 10 -76
0.351587 2 -68
0.354236 23 -81
0.362414 6 -66
0.370613 5 -69
0.371445 27 -76
0.40485 9 -75
0.409337 11 -58
0.412622 15 -84
0.413702 21 -72
0.417674 32 -72
0.420886 29 -80
0.423948 38 -83
0.426913 12 -60
0.435314 24 -78
0.441657 20 -77
0.442912 4 -70
0.4536 10 -76
0.455953 2 -68
0.462873 23 -82
0.46385 6 -66
0.468338 33 -81
0.478343 27 -76
0.479708 5 -69
0.488585 16 -81
0.505034 9 -74
0.507931 26 -83
0.514385 8 -75
0.516245 3 -63
0.519532 11 -59
0.523626 32 -72
0.529614 29 -82
0.536131 12 -61
0.542487 24 -79
0.552374 4 -70
0.553829 34 -86
0.557796 18 -68
0.5594 7 -83
0.561444 10 -76
0.562902 1 -75
0.5691 6 -66
0.570689 33 -82
0.585324 5 -68
0.592035 16 -82
0.613153 9 -75
0.616584 8 -75
0.621305 21 -74
0.623417 3 -63
0.626344 32 -72
0.627956 11 -59
0.636926 12 -61
0.639088 38 -82
0.648867 24 -79
0.651578 20 -78
0.653535 4 -70
0.658713 34 -85
0.660534 2 -69
0.668404 10 -76
0.670929 1 -75
0.67792 6 -55
0.690918 27 -76
0.692893 5 -68
0.696279 16 -82
0.717868 8 -75
0.71837 26 -81
0.719715 9 -74
0.724023 21 -72
0.729651 13 -82
0.730526 32 -72
0.731346 11 -59
0.733397 3 -63
0.741823 29 -81
0.746572 12 -61
0.751096 24 -78
0.760953 4 -70
0.763405 2 -68
0.767826 7 -81
0.773554 1 -71
0.780577 6 -66
0.786377 33 -81
0.824758 21 -73
0.826338 9 -73
0.831928 11 -58
0.837373 13 -77
0.838034 32 -72
0.840355 3 -63
