Timestamp Beacon Rssi
0.012608 28 -82
0.045775 9 -76
0.052473 14 -78
0.162151 32 -78
0.318801 5 -58
0.339673 1 -74
0.343357 24 -76
0.347827 26 -80
0.383167 18 -83
0.496105 7 -74
0.532632 4 -64
0.559193 38 -80
0.581214 15 -83
0.608076 3 -66
0.617114 12 -54
0.677526 6 -69
0.798828 10 -76
0.822215 8 -78
0.921062 21 -78
0.984521 2 -66
0.99976 11 -73
1.04643 9 -77
1.058252 14 -78
1.170711 32 -78
1.328303 5 -66
1.349053 1 -72
1.352349 24 -72
1.390838 18 -79
1.538422 4 -64
1.561898 38 -81
1.609001 3 -69
1.619122 12 -52
1.680225 6 -68
1.698711 23 -80
1.804127 10 -78
1.824249 8 -75
1.861582 20 -76
1.988326 2 -68
2.008635 11 -60
2.046779 9 -77
2.333747 5 -68
2.356694 1 -82
2.512857 7 -77
2.546623 4 -66
2.61667 3 -61
2.621312 12 -55
2.682894 6 -68
2.810463 10 -72
2.861839 20 -78
2.990423 2 -67
3.015556 11 -66
3.054513 9 -74
3.069598 34 -85
3.342761 5 -66
3.357394 24 -80
3.359757 1 -70
3.515374 7 -74
3.548017 4 -64
3.623655 12 -57
3.62504 3 -66
3.670785 25 -86
3.691879 6 -66
3.706648 23 -84
3.819424 10 -72
3.834786 8 -76
3.870549 20 -77
3.938611 21 -80
4.020433 11 -67
4.056907 9 -78
4.352508 5 -68
4.368954 1 -68
4.577517 38 -81
4.589144 15 -78
4.631399 12 -57
4.632434 3 -62
4.699399 6 -64
4.711914 23 -78
4.824326 10 -72
4.945101 21 -77
5.001878 2 -64
5.028604 28 -64
5.064855 9 -70
5.183314 32 -80
5.352795 5 -70
5.362896 24 -76
5.37867 1 -72
5.412273 18 -79
5.438534 16 -78
5.52886 7 -80
5.558284 4 -62
5.636776 3 -60
5.637526 12 -58
5.683889 25 -79
5.699474 6 -64
5.833531 10 -71
5.88028 20 -76
5.948113 21 -78
6.006141 2 -66
6.032077 11 -64
6.086259 14 -76
6.190744 32 -82
6.360314 5 -66
6.36789 24 -79
6.385731 1 -66
6.446211 16 -80
6.563768 4 -65
6.641486 12 -59
6.644903 3 -58
6.68916 25 -82
6.705346 6 -76
6.722353 23 -78
6.821255 33 -83
6.843285 10 -71
6.847297 8 -72
6.883436 20 -76
6.92801 31 -84
6.953078 21 -73
7.007017 2 -74
7.036924 11 -75
7.08278 34 -80
7.083314 9 -73
7.091457 14 -80
7.366338 5 -68
7.376729 24 -77
7.387176 1 -69
7.556822 37 -83
7.566812 4 -67
7.602942 15 -78
7.641815 12 -58
7.651809 3 -63
7.711371 6 -72
7.844678 10 -71
7.850551 8 -77
7.888271 20 -78
7.956242 21 -70
8.013599 2 -64
8.042442 11 -64
8.045458 28 -83
8.089905 34 -76
8.092506 14 -78
8.379343 24 -76
8.574676 4 -69
8.605802 15 -81
8.64666 12 -58
8.658897 3 -72
8.719655 6 -73
8.852083 10 -74
8.855026 8 -77
8.895699 20 -77
8.963739 21 -72
9.014352 2 -64
9.049027 11 -65
9.091294 34 -77
9.356901 22 -82
9.380399 5 -66
9.386717 24 -73
9.583517 4 -69
9.647752 12 -58
9.853078 10 -78
9.859593 8 -76
9.90569 20 -72
9.964676 21 -72
10.015991 2 -66
10.057932 11 -81
10.098236 34 -77
10.103648 9 -76
10.265647 27 -78
10.357468 22 -79
10.384165 5 -60
10.390246 24 -77
10.406222 1 -78
10.588849 4 -64
10.654276 12 -54
10.676584 3 -62
10.728684 6 -69
10.752846 35 -79
10.858255 10 -75
10.863335 8 -75
10.906741 20 -76
10.973485 21 -75
11.024038 2 -68
11.061618 11 -71
11.104653 14 -78
11.110039 9 -71
11.275672 27 -77
11.391958 5 -67
11.409011 1 -76
11.440901 18 -81
11.468483 16 -78
11.566541 7 -82
11.595249 4 -62
11.646662 29 -82
11.660158 12 -54
11.867566 8 -66
11.907669 20 -69
11.979274 21 -75
12.031139 2 -70
12.065682 28 -79
12.066433 11 -57
12.278068 27 -77
12.39374 5 -70
12.415278 1 -72
12.57098 7 -80
12.605005 4 -63
12.63903 15 -76
12.669032 12 -58
12.679165 3 -58
12.733532 6 -78
12.871019 10 -75
12.988542 21 -81
13.035219 2 -66
13.072592 11 -53
13.106612 34 -80
13.112782 9 -76
13.116515 14 -76
13.228171 32 -78
13.281104 27 -76
13.377965 22 -80
13.395738 24 -77
13.420691 1 -69
13.423654 26 -79
13.445714 18 -78
13.476391 16 -77
13.607407 4 -62
13.875097 10 -63
13.880392 8 -66
13.91325 20 -80
13.989233 21 -70
14.035362 2 -60
14.081039 11 -64
14.118899 9 -71
14.383505 22 -78
14.425279 1 -64
14.454604 18 -80
14.584649 7 -76
14.606166 37 -85
14.611244 4 -70
14.669886 29 -82
14.673351 12 -72
14.685713 3 -62
14.738441 6 -82
14.876551 10 -70
14.886637 8 -70
15.036085 2 -63
15.086007 11 -58
15.125961 9 -69
15.235555 32 -85
15.40539 24 -76
15.430692 1 -64
15.459742 18 -77
15.486709 16 -78
