Beacon Rssi
4 -83
5 -83
6 -83
6 -81
7 -79
7 -83
7 -81
7 -81
7 -81
7 -80
7 -83
7 -82
7 -84
8 -83
8 -83
10 -83
11 -84
12 -84
14 -81
14 -81
14 -83
14 -84
15 -78
15 -77
15 -77
15 -81
15 -78
15 -78
15 -79
15 -78
15 -77
15 -78
15 -78
15 -78
15 -78
15 -79
15 -75
15 -73
15 -74
15 -73
15 -74
15 -74
15 -75
15 -75
15 -76
15 -78
15 -80
15 -82
15 -80
15 -77
15 -76
15 -75
15 -74
15 -76
15 -75
15 -76
15 -75
15 -75
15 -76
16 -84
16 -83
16 -78
16 -80
16 -80
16 -84
16 -82
17 -75
17 -42
17 -78
17 -78
17 -78
17 -76
17 -76
17 -77
17 -76
17 -76
17 -84
17 -81
17 -78
17 -77
17 -77
17 -76
17 -75
17 -76
17 -76
17 -78
17 -78
17 -80
17 -79
17 -78
17 -77
17 -75
17 -74
17 -75
17 -73
17 -74
17 -74
17 -73
17 -73
18 -77
18 -80
18 -79
18 -76
18 -76
18 -74
18 -74
18 -76
18 -76
18 -76
18 -78
18 -77
18 -79
18 -77
18 -78
18 -76
18 -77
18 -76
18 -76
18 -78
18 -81
18 -80
18 -80
18 -80
18 -77
18 -76
18 -77
19 -76
19 -78
19 -79
19 -76
19 -76
19 -75
19 -75
19 -73
19 -76
19 -76
19 -76
19 -76
19 -76
19 -75
19 -72
19 -84
19 -78
19 -78
19 -81
19 -81
19 -77
19 -77
19 -82
19 -84
19 -81
19 -78
20 -80
20 -77
20 -77
20 -76
20 -77
20 -78
20 -76
20 -74
20 -74
20 -74
20 -74
20 -71
20 -75
20 -83
20 -76
20 -80
20 -77
20 -78
20 -78
20 -78
20 -76
20 -75
20 -77
20 -76
20 -77
20 -76
20 -79
20 -82
20 -79
20 -77
20 -82
20 -81
20 -80
21 -79
21 -76
21 -78
21 -81
21 -78
21 -80
21 -79
21 -78
21 -79
21 -83
21 -81
21 -78
21 -76
21 -77
21 -76
21 -80
21 -81
21 -77
21 -80
21 -70
21 -78
21 -80
21 -79
21 -82
21 -80
22 -80
22 -47
22 -82
22 -82
22 -79
22 -81
22 -80
22 -81
22 -82
22 -83
22 -82
23 -81
23 -83
23 -81
23 -78
23 -78
23 -79
23 -78
23 -78
23 -79
23 -82
23 -78
23 -81
23 -83
23 -80
23 -81
23 -78
24 -81
24 -81
24 -83
24 -84
25 -82
25 -82
26 -81
26 -81
26 -81
26 -81
26 -81
26 -81
26 -84
26 -81
26 -81
26 -81
26 -81
28 -81
28 -80
28 -79
28 -79
28 -78
28 -80
28 -83
28 -82
28 -83
29 -79
29 -80
29 -82
29 -80
29 -79
29 -79
29 -78
29 -79
29 -80
29 -79
29 -76
29 -79
29 -79
29 -78
29 -76
29 -82
29 -80
29 -78
29 -81
29 -79
29 -79
29 -80
30 -78
30 -80
30 -78
30 -78
30 -79
30 -80
30 -79
30 -79
30 -79
30 -78
30 -81
30 -80
30 -79
30 -78
30 -76
30 -76
30 -78
30 -78
30 -81
30 -79
30 -81
30 -82
30 -78
30 -77
30 -80
30 -77
30 -78
30 -78
30 -78
30 -77
30 -78
30 -77
31 -78
31 -83
31 -78
31 -80
31 -76
31 -76
31 -75
31 -73
31 -74
31 -77
31 -64
31 -80
31 -76
31 -76
31 -76
31 -73
31 -76
31 -75
31 -74
31 -75
31 -75
31 -74
32 -76
32 -78
32 -79
32 -81
32 -80
32 -79
32 -79
32 -80
32 -78
32 -81
32 -76
32 -77
32 -76
32 -80
32 -78
32 -78
32 -78
32 -79
32 -80
32 -82
32 -80
32 -80
32 -78
32 -79
32 -82
32 -80
32 -77
32 -78
32 -77
32 -77
32 -77
32 -77
33 -81
33 -80
33 -84
33 -82
34 -85
37 -84
37 -82
37 -82
38 -84
38 -83
38 -77
38 -77
38 -79
38 -78
38 -81
38 -78
38 -78
38 -82
38 -81
38 -81
38 -80
38 -80
38 -79
38 -81
38 -84
38 -84
39 -72
39 -72
39 -72
39 -75
39 -74
39 -74
39 -74
39 -74
39 -73
39 -73
39 -73
39 -74
39 -74
39 -78
39 -77
39 -75
39 -75
39 -76
39 -75
39 -74
39 -75
39 -76
39 -76
39 -75
39 -76
39 -78
39 -76
39 -75
39 -77
39 -75
39 -72
39 -74
39 -77
39 -77
39 -76
39 -78
39 -76
39 -76
39 -75
40 -78
40 -83
40 -79
40 -76
40 -76
40 -79
40 -76
40 -76
40 -76
40 -76
40 -78
40 -76
40 -76
40 -75
40 -75
40 -76
40 -76
40 -75
40 -74
40 -75
40 -76
40 -75
40 -77
40 -76
40 -81
40 -83
40 -81
40 -81
40 -78
40 -79
40 -78
40 -78
40 -78
41 -71
41 -70
41 -84
41 -70
41 -75
41 -72
41 -72
41 -72
41 -71
41 -74
41 -74
41 -74
41 -74
41 -72
41 -73
41 -72
41 -72
41 -72
41 -72
41 -74
41 -75
41 -74
41 -79
41 -80
41 -78
41 -78
41 -72
41 -74
41 -76
41 -74
41 -74
41 -73
41 -72
41 -72
41 -72
41 -69
41 -70
41 -69
41 -69
41 -69
41 -69
42 -76
42 -70
42 -71
42 -80
42 -80
42 -78
42 -76
42 -76
42 -76
42 -79
42 -70
42 -74
42 -76
42 -72
42 -76
42 -74
42 -71
42 -71
42 -70
42 -74
42 -72
42 -70
42 -70
42 -70
42 -70
42 -69
42 -69
42 -71
42 -74
42 -72
42 -76
42 -75
42 -74
42 -73
42 -73
42 -73
42 -72
43 -70
43 -76
43 -72
43 -66
43 -66
43 -67
43 -66
43 -66
43 -66
43 -66
43 -66
43 -64
43 -66
43 -70
43 -70
43 -70
43 -70
43 -69
43 -68
43 -69
43 -71
43 -70
43 -71
43 -70
43 -68
43 -67
43 -66
43 -67
43 -67
43 -68
43 -69
43 -67
43 -68
43 -74
43 -75
43 -72
43 -72
43 -72
43 -72
43 -73
43 -73
44 -76
44 -71
44 -72
44 -76
44 -74
44 -75
44 -76
44 -74
44 -72
44 -73
44 -73
44 -73
44 -72
44 -74
44 -83
44 -81
44 -78
44 -76
44 -73
44 -70
44 -70
44 -73
44 -75
44 -74
44 -70
44 -70
44 -72
44 -72
44 -77
44 -78
44 -75
44 -76
44 -74
44 -78
44 -78
44 -76
45 -76
45 -72
45 -69
45 -70
45 -70
45 -70
45 -69
45 -67
45 -67
45 -67
45 -68
45 -68
45 -68
45 -76
45 -70
45 -82
45 -85
45 -78
45 -77
45 -74
45 -76
45 -73
45 -71
45 -71
45 -71
45 -71
45 -73
45 -71
45 -71
45 -76
45 -77
45 -77
45 -78
45 -76
46 -78
46 -79
46 -78
46 -80
46 -82
46 -76
46 -82
46 -83
46 -83
47 -79
47 -78
47 -80
47 -81
47 -82
47 -82
47 -80
47 -81
47 -80
47 -81
47 -81
47 -77
47 -76
47 -77
47 -78
47 -77
47 -81
47 -80
47 -78
47 -80
47 -80
47 -80
47 -80
47 -80
47 -82
48 -77
48 -80
48 -80
48 -81
48 -79
48 -84
48 -80
48 -78
48 -76
48 -75
48 -76
48 -77
48 -77
48 -77
48 -78
48 -80
48 -78
48 -78
48 -80
48 -79
48 -78
48 -78
48 -78
49 -76
49 -83
50 -79
50 -78
50 -76
50 -76
50 -75
50 -74
50 -69
50 -75
50 -76
50 -76
50 -77
50 -76
50 -75
50 -74
50 -77
50 -79
50 -79
50 -77
50 -77
50 -78
50 -80
50 -80
50 -78
50 -80
50 -78
50 -78
50 -78
50 -79
50 -76
50 -76
51 -78
51 -74
51 -76
51 -76
51 -76
51 -76
51 -76
51 -77
51 -76
51 -77
51 -46
51 -78
51 -79
51 -76
51 -78
51 -76
51 -78
51 -76
51 -74
51 -72
51 -73
51 -72
51 -74
51 -73
51 -73
51 -73
51 -73
51 -72
51 -74
51 -74
51 -78
51 -74
51 -76
51 -75
51 -78
51 -78
51 -76
52 -76
52 -69
52 -70
52 -70
52 -70
52 -70
52 -70
52 -70
52 -70
52 -70
52 -70
52 -70
52 -70
52 -70
52 -72
52 -79
52 -76
52 -78
52 -74
52 -70
52 -68
52 -70
52 -70
52 -72
52 -70
52 -70
52 -72
52 -69
52 -70
52 -82
52 -74
52 -72
52 -71
52 -72
52 -76
52 -76
52 -72
53 -70
53 -72
53 -67
53 -72
53 -72
53 -71
53 -71
53 -72
53 -72
53 -72
53 -72
53 -73
53 -72
53 -74
53 -70
53 -72
53 -76
53 -71
53 -72
53 -72
53 -70
53 -70
53 -68
53 -54
53 -74
53 -70
53 -68
53 -69
53 -67
53 -69
53 -68
53 -72
53 -68
53 -70
53 -75
53 -68
53 -76
53 -73
53 -73
54 -73
54 -73
54 -76
54 -80
54 -78
54 -77
54 -76
54 -77
54 -73
54 -72
54 -71
54 -71
54 -72
54 -72
54 -74
54 -74
54 -71
54 -74
54 -70
54 -69
54 -64
54 -64
54 -66
54 -65
54 -67
54 -66
54 -71
54 -68
54 -66
54 -65
54 -65
54 -65
54 -74
54 -72
54 -78
54 -72
54 -70
54 -72
54 -72
54 -71
54 -72
54 -71
54 -71
54 -71
55 -61
55 -60
55 -62
55 -59
55 -60
55 -59
55 -58
55 -58
55 -58
55 -58
55 -59
55 -60
55 -60
55 -59
55 -66
55 -72
55 -65
55 -63
55 -63
55 -64
55 -60
55 -63
55 -65
55 -63
55 -60
55 -60
55 -62
55 -62
55 -61
55 -61
55 -63
55 -61
55 -64
55 -65
55 -64
55 -62
55 -61
55 -62
55 -62
55 -62
56 -74
56 -71
56 -75
56 -75
56 -74
56 -73
56 -74
56 -73
56 -74
56 -74
56 -74
56 -75
56 -75
56 -72
56 -78
56 -78
56 -73
56 -72
56 -74
56 -72
56 -73
56 -72
56 -71
56 -72
56 -72
56 -72
56 -71
56 -72
56 -73
56 -75
56 -76
56 -75
56 -78
56 -79
56 -76
57 -80
57 -84
57 -80
57 -80
58 -79
58 -79
58 -83
58 -77
58 -78
58 -79
58 -80
58 -80
58 -81
58 -81
58 -78
58 -78
58 -82
58 -76
58 -78
58 -81
58 -78
58 -76
58 -76
58 -74
58 -75
58 -80
58 -76
58 -66
58 -76
58 -65
58 -76
58 -76
58 -76
58 -75
58 -78
58 -76
58 -77
58 -76
58 -76
59 -81
59 -81
59 -82
59 -83
59 -78
59 -83
59 -77
60 -84
60 -83
60 -80
60 -83
60 -84
60 -84
60 -82
60 -82
