Beacon Rssi
6 -88
7 -78
7 -81
7 -82
7 -82
7 -81
7 -82
7 -84
7 -77
7 -82
7 -78
7 -78
7 -77
7 -76
7 -75
7 -75
7 -78
7 -78
7 -76
7 -76
7 -76
7 -76
7 -76
7 -78
7 -78
7 -78
7 -78
7 -78
7 -78
7 -78
7 -78
7 -79
7 -79
7 -75
7 -73
7 -75
7 -73
7 -76
7 -81
7 -81
7 -80
7 -80
7 -79
7 -78
7 -79
7 -79
7 -79
7 -78
7 -79
7 -79
7 -79
7 -79
7 -79
7 -80
7 -80
7 -79
7 -78
7 -79
7 -81
7 -81
7 -83
7 -83
7 -83
7 -82
7 -82
7 -84
7 -83
7 -83
7 -83
7 -81
7 -86
7 -85
7 -82
8 -85
8 -85
8 -85
8 -86
9 -81
9 -82
9 -83
9 -62
9 -82
9 -82
9 -80
9 -81
9 -81
9 -81
9 -82
9 -82
9 -82
9 -82
9 -80
9 -82
9 -85
9 -82
9 -84
9 -81
9 -83
9 -83
9 -82
9 -81
11 -85
11 -83
11 -84
11 -84
11 -85
12 -84
12 -85
12 -84
12 -85
13 -77
13 -77
13 -77
13 -78
13 -77
13 -76
13 -76
13 -76
13 -76
13 -78
13 -78
13 -78
13 -57
13 -78
13 -85
13 -86
13 -83
13 -83
13 -82
13 -81
13 -81
13 -82
13 -82
13 -81
13 -77
13 -76
13 -76
13 -77
13 -80
13 -82
13 -83
13 -83
13 -81
13 -82
13 -81
13 -81
13 -80
13 -80
13 -81
13 -81
13 -81
13 -80
13 -79
13 -80
13 -81
13 -82
13 -80
13 -80
13 -80
13 -80
13 -74
13 -80
13 -81
13 -81
13 -81
13 -82
13 -82
13 -81
13 -80
13 -80
13 -80
13 -78
13 -80
13 -80
13 -80
13 -81
13 -78
13 -77
13 -79
13 -79
13 -81
14 -83
14 -84
14 -84
14 -84
14 -82
14 -78
14 -79
14 -83
14 -83
14 -83
14 -83
14 -82
14 -82
14 -81
14 -81
14 -81
14 -82
14 -84
14 -85
14 -83
14 -79
14 -78
14 -79
14 -79
14 -78
14 -80
14 -79
14 -78
14 -79
14 -80
14 -80
14 -79
14 -79
14 -79
14 -78
14 -80
14 -80
14 -81
14 -81
14 -80
14 -80
14 -80
14 -81
14 -81
14 -81
14 -80
14 -80
14 -80
14 -80
14 -78
14 -81
14 -81
14 -82
14 -82
14 -86
15 -76
15 -70
15 -79
15 -85
15 -88
15 -79
15 -80
15 -81
15 -83
15 -72
15 -73
15 -74
15 -72
15 -75
15 -58
15 -80
15 -81
15 -82
15 -83
15 -83
15 -80
15 -78
15 -76
15 -77
15 -77
15 -76
15 -74
15 -75
15 -74
15 -74
15 -78
15 -81
15 -81
15 -81
15 -81
15 -82
15 -82
15 -80
15 -81
15 -82
15 -81
15 -82
15 -83
15 -82
15 -82
15 -82
15 -83
15 -81
15 -81
15 -81
15 -81
15 -80
15 -80
15 -79
15 -80
15 -80
15 -82
15 -81
15 -82
15 -82
15 -82
15 -81
15 -82
15 -80
15 -81
15 -84
15 -85
15 -85
15 -83
15 -79
15 -80
15 -79
15 -83
16 -83
16 -84
16 -83
16 -82
16 -83
16 -80
16 -83
16 -83
16 -81
16 -73
16 -82
16 -81
16 -83
16 -84
16 -84
16 -83
16 -82
16 -83
16 -82
16 -80
16 -82
16 -81
16 -80
16 -79
16 -80
16 -80
16 -84
16 -82
17 -74
17 -73
17 -74
17 -75
17 -77
17 -76
17 -74
17 -73
17 -76
17 -75
17 -71
17 -72
17 -72
17 -72
17 -73
17 -72
17 -74
17 -79
17 -81
17 -77
17 -76
17 -78
17 -78
17 -76
17 -76
17 -76
17 -75
17 -76
17 -74
17 -72
17 -72
17 -74
17 -75
17 -74
17 -73
17 -73
17 -73
17 -74
17 -73
17 -73
17 -73
17 -73
17 -72
17 -72
17 -73
17 -73
17 -73
17 -73
17 -73
17 -72
17 -72
17 -73
17 -75
17 -74
17 -75
17 -74
17 -73
17 -72
17 -72
17 -72
17 -72
17 -72
17 -72
17 -72
17 -72
17 -72
17 -72
17 -72
17 -72
17 -72
17 -72
17 -72
17 -76
17 -74
17 -75
17 -75
17 -74
17 -73
17 -73
17 -74
17 -76
18 -80
18 -80
18 -82
18 -84
18 -84
18 -80
18 -79
18 -76
18 -76
18 -76
18 -79
18 -77
18 -84
18 -82
18 -83
18 -83
18 -77
18 -76
18 -78
18 -82
18 -82
18 -83
18 -83
18 -81
18 -83
18 -83
18 -82
18 -83
18 -83
18 -80
18 -70
18 -83
18 -82
18 -78
18 -82
18 -80
18 -79
18 -80
18 -79
19 -83
19 -83
19 -83
19 -84
19 -85
21 -86
21 -85
21 -86
21 -85
21 -86
21 -84
23 -86
23 -69
30 -85
30 -82
30 -82
30 -83
30 -83
30 -83
30 -84
30 -85
30 -84
30 -84
30 -84
30 -84
30 -84
30 -87
30 -85
30 -84
30 -85
30 -84
30 -84
30 -82
30 -85
31 -87
31 -84
31 -87
32 -83
32 -82
32 -83
32 -83
32 -82
32 -82
32 -81
32 -80
32 -82
32 -84
32 -87
33 -84
33 -82
33 -81
33 -81
33 -82
33 -83
33 -80
34 -87
34 -84
34 -86
34 -86
34 -83
34 -85
34 -84
34 -84
34 -83
34 -83
34 -84
34 -84
34 -84
34 -86
35 -86
35 -83
35 -85
35 -83
35 -86
36 -83
36 -82
36 -81
36 -78
36 -82
36 -83
36 -84
36 -83
37 -75
37 -75
37 -78
37 -79
37 -78
37 -78
37 -77
37 -77
37 -79
37 -75
37 -76
37 -76
37 -75
37 -76
37 -75
37 -76
37 -77
37 -77
37 -76
37 -76
37 -75
37 -75
37 -74
37 -74
37 -74
37 -75
37 -75
37 -73
37 -73
37 -72
37 -72
37 -73
37 -72
37 -72
37 -72
37 -74
37 -78
37 -79
37 -73
37 -73
37 -74
37 -75
37 -75
37 -75
37 -75
37 -75
37 -74
37 -74
37 -74
37 -75
37 -74
37 -74
37 -74
37 -74
37 -73
37 -73
37 -75
37 -77
37 -77
37 -76
37 -76
37 -76
37 -75
37 -74
37 -74
37 -74
37 -74
37 -74
37 -74
37 -74
37 -74
37 -73
37 -73
37 -73
37 -73
37 -75
37 -74
37 -73
37 -74
37 -74
37 -74
37 -74
37 -74
37 -76
37 -75
38 -82
38 -84
38 -83
38 -78
38 -79
38 -80
38 -83
38 -81
38 -79
38 -78
38 -78
38 -79
38 -78
38 -79
38 -84
38 -83
38 -83
38 -83
38 -51
38 -80
38 -78
38 -78
38 -82
38 -81
38 -78
38 -78
38 -77
38 -78
39 -81
39 -83
39 -74
39 -77
39 -76
39 -76
39 -82
39 -78
39 -75
39 -83
39 -83
39 -84
39 -85
39 -78
39 -75
39 -82
39 -78
39 -78
39 -78
39 -78
39 -78
39 -79
39 -77
39 -78
39 -78
39 -78
39 -78
39 -78
39 -78
39 -78
39 -75
39 -79
39 -78
39 -78
39 -78
39 -77
39 -78
39 -78
39 -78
39 -78
39 -78
39 -78
39 -78
39 -78
39 -78
39 -77
39 -77
39 -78
39 -78
39 -78
39 -78
39 -80
39 -83
39 -82
39 -82
39 -81
39 -82
40 -75
40 -75
40 -76
40 -74
40 -70
40 -71
40 -73
40 -74
40 -74
40 -72
40 -68
40 -68
40 -67
40 -67
40 -67
40 -68
40 -68
40 -68
40 -70
40 -70
40 -70
40 -70
40 -70
40 -69
40 -68
40 -68
40 -68
40 -68
40 -70
40 -70
40 -69
40 -67
40 -67
40 -69
40 -66
40 -69
40 -71
40 -70
40 -72
40 -71
40 -70
40 -69
40 -68
40 -68
40 -68
40 -68
40 -68
