Timestamp Beacon Rssi
0.006466 58 -66
0.01163 31 -77
0.017252 33 -76
0.018468 29 -77
0.02139 53 -76
0.023815 25 -72
0.035301 20 -75
0.036848 2 -74
0.0416 43 -75
0.043928 54 -79
0.052603 8 -70
0.060725 52 -78
0.066094 18 -76
0.06828 10 -79
0.069828 1 -72
0.07192 50 -72
0.072883 3 -60
0.074242 24 -78
0.076422 9 -73
0.078443 46 -72
0.079129 47 -77
0.080076 28 -70
0.081203 40 -81
0.081723 6 -70
0.085057 11 -70
0.09256 55 -64
0.094391 17 -79
0.098732 4 -60
0.100519 44 -78
0.102698 51 -76
0.103202 26 -72
0.106115 32 -76
0.110491 5 -65
0.113633 21 -70
0.120727 29 -76
0.121422 53 -76
0.122441 33 -77
0.125862 25 -72
0.142364 43 -75
0.143113 20 -75
0.145211 2 -75
0.158496 49 -82
0.161851 8 -70
0.16918 52 -77
0.170439 1 -71
0.173753 50 -75
0.176073 18 -76
0.177461 3 -60
0.178437 9 -74
0.179192 47 -77
0.183449 46 -72
0.185479 28 -70
0.1877 27 -73
0.192414 11 -77
0.194653 30 -70
0.199673 55 -59
0.207583 51 -76
0.212067 32 -76
0.212571 26 -73
0.214642 5 -64
0.216209 31 -77
0.221147 58 -79
0.222651 29 -75
0.22864 25 -72
0.250073 20 -76
0.255495 54 -78
0.258752 45 -75
0.262341 8 -70
0.277337 1 -71
0.283809 3 -60
0.285312 46 -72
0.287227 9 -73
0.287799 47 -78
0.290301 28 -70
0.290809 15 -82
0.291457 24 -80
0.292187 27 -72
0.293657 6 -71
0.298323 23 -81
0.299069 11 -78
0.300109 4 -60
0.301963 55 -64
0.304603 30 -70
0.316432 32 -76
0.317269 21 -71
0.321082 5 -66
0.321971 26 -70
0.328297 29 -76
0.330713 33 -76
0.331863 53 -74
0.337889 25 -72
0.3451 22 -81
0.350193 35 -84
0.351583 43 -76
0.352355 2 -72
0.365608 8 -70
0.367694 45 -74
0.384936 1 -70
0.386312 3 -60
0.387091 18 -76
0.392988 47 -78
0.393537 28 -69
0.394049 27 -71
0.394896 46 -72
0.395742 9 -72
0.396954 6 -71
0.399713 34 -79
0.404566 4 -60
0.405931 55 -65
0.410716 44 -75
0.411715 30 -71
0.413843 51 -74
0.41727 21 -72
0.423071 26 -69
0.426412 32 -76
0.427532 31 -76
0.430708 29 -76
0.433691 58 -76
0.434651 33 -76
0.44021 25 -70
0.452815 2 -72
0.453402 22 -78
0.459891 54 -77
0.465155 49 -76
0.468096 60 -84
0.47038 45 -74
0.475009 8 -69
0.478431 52 -82
0.487857 50 -74
0.489045 18 -77
0.489881 1 -69
0.490746 10 -60
0.49695 27 -73
0.499364 40 -79
0.501379 24 -72
0.503242 28 -69
0.505299 34 -79
0.507148 6 -72
0.507833 4 -60
0.511355 59 -79
0.516355 30 -72
0.517781 51 -72
0.520385 21 -75
0.52853 5 -68
0.529298 26 -67
0.534347 32 -74
0.535714 29 -75
0.537826 33 -76
0.542928 25 -73
0.54511 53 -71
0.552939 2 -73
0.563197 20 -76
0.567272 43 -78
0.569718 54 -76
0.574403 49 -75
0.575879 60 -80
0.578742 45 -74
0.582182 8 -69
0.584872 52 -78
0.588988 50 -74
0.591213 18 -77
0.59203 10 -76
0.597375 48 -82
0.59794 3 -60
0.598548 1 -69
0.603404 9 -73
0.605773 40 -79
0.606539 28 -70
0.607242 47 -82
0.607772 34 -79
0.608369 6 -72
0.609516 46 -72
0.613054 4 -58
0.614716 44 -74
0.617745 17 -78
0.618423 11 -82
0.61982 55 -66
0.62072 30 -72
0.624529 19 -82
0.626603 51 -72
0.633022 26 -67
0.634758 56 -81
0.635927 41 -83
0.636709 5 -67
0.637461 32 -76
0.640656 31 -74
0.644473 29 -75
0.647013 33 -76
0.648484 25 -73
0.649324 53 -72
0.65764 2 -72
0.669027 20 -76
0.670799 22 -76
0.676249 54 -76
0.677274 49 -75
0.683038 8 -69
0.686067 45 -73
0.690213 52 -79
0.697682 48 -82
0.698629 18 -76
0.7045 1 -66
0.705235 9 -74
0.706668 3 -61
0.710379 27 -74
0.71145 40 -79
0.714581 4 -58
0.715769 34 -80
0.716976 6 -70
0.718062 46 -70
0.71963 44 -74
0.721301 30 -72
0.724186 55 -67
0.72523 11 -80
0.72871 51 -72
0.733938 21 -76
0.734479 19 -83
0.738104 32 -76
0.739828 26 -67
0.74141 5 -68
0.742266 56 -78
0.746027 31 -74
0.74796 33 -76
0.749584 25 -74
0.750424 53 -73
0.751339 29 -73
0.76637 2 -71
0.768355 35 -82
0.775314 20 -75
0.776264 22 -76
0.777653 54 -77
0.785332 49 -75
0.78702 60 -75
0.790425 8 -69
0.791926 45 -72
0.793297 52 -78
0.796438 50 -76
0.800822 10 -76
0.806 9 -75
0.807052 18 -75
0.808461 1 -76
0.812039 3 -62
0.814137 40 -80
0.815788 28 -71
0.817147 4 -58
0.818991 6 -70
0.819855 17 -78
0.824453 44 -74
0.826308 30 -73
0.828917 55 -69
0.833808 51 -72
0.836738 19 -81
0.843217 21 -77
0.844193 26 -66
0.844849 32 -76
0.845591 5 -70
0.847547 56 -79
0.851288 33 -76
0.851857 31 -74
0.858161 25 -70
0.859696 58 -70
0.876875 22 -76
0.881907 20 -75
0.885679 54 -64
0.892942 60 -75
0.893875 8 -69
0.894428 49 -75
0.895648 52 -79
0.896932 45 -73
0.902411 10 -75
0.904918 48 -82
0.911585 9 -75
0.915941 28 -72
0.917246 18 -63
0.91945 6 -71
0.920628 4 -58
0.921386 34 -79
0.922741 27 -75
0.932541 44 -74
0.934604 51 -72
0.935144 55 -70
0.935647 30 -72
0.936442 59 -80
0.938815 19 -81
0.948254 21 -77
0.952184 5 -70
0.953746 26 -66
0.955805 33 -70
0.956764 56 -76
0.962283 25 -75
0.967456 53 -72
0.977273 22 -77
0.979251 2 -70
0.986108 54 -76
0.991399 20 -74
0.995712 45 -73
0.998314 60 -75
0.999919 8 -70
1.00392 49 -75
1.006878 50 -77
1.015431 9 -75
1.01701 28 -71
1.019822 3 -63
1.024665 27 -73
1.025848 4 -59
1.026566 1 -63
1.034049 17 -79
1.039 46 -73
1.040251 51 -72
1.041087 44 -73
1.041921 55 -70
1.043736 59 -77
1.044377 30 -73
1.054237 21 -67
1.056041 29 -73
1.057342 5 -72
1.060884 56 -78
1.064137 33 -76
1.065621 31 -76
1.069975 25 -75
1.076349 16 -82
1.078313 58 -81
1.083256 22 -77
1.087237 54 -69
1.093627 20 -74
1.102151 45 -73
1.103494 52 -71
1.109354 49 -76
1.110897 10 -76
1.114473 48 -81
1.12104 28 -72
1.122898 40 -81
1.127223 4 -58
1.12866 18 -63
1.129252 1 -64
1.13271 34 -71
1.136113 6 -74
1.137926 17 -80
1.141413 51 -72
1.143662 55 -71
1.146295 46 -74
1.149352 59 -81
1.150726 30 -72
1.156103 29 -73
1.158783 26 -67
1.160677 21 -78
1.166681 5 -71
1.168563 33 -75
1.181797 13 -79
1.187743 22 -78
1.189842 35 -68
1.197308 54 -76
1.198511 20 -75
1.206394 45 -71
1.211645 49 -76
1.213849 60 -74
1.21981 10 -76
1.220792 48 -81
1.222444 28 -72
1.225199 9 -75
1.229802 3 -64
1.230307 4 -58
1.230894 40 -82
1.2337 27 -70
1.235783 1 -63
1.236443 18 -76
1.240387 6 -76
1.241132 17 -79
1.242219 23 -81
1.246481 51 -73
1.249462 55 -70
1.252833 30 -73
1.253834 46 -74
1.256793 19 -76
1.261261 29 -72
1.26211 26 -68
1.269071 21 -78
1.269846 32 -78
1.271812 56 -80
1.272358 5 -76
1.273111 33 -77
1.284245 53 -74
1.288569 58 -81
1.290176 16 -84
1.291433 2 -68
1.304066 20 -75
1.304724 54 -76
1.306851 8 -73
1.311554 52 -78
1.313443 45 -74
1.316835 49 -76
1.323951 60 -75
1.326373 10 -76
1.331242 9 -74
1.33377 3 -64
1.336809 4 -58
1.343688 1 -63
1.34643 6 -78
1.347787 34 -81
1.348916 17 -81
1.351182 51 -73
1.355078 55 -72
1.35613 30 -72
1.356647 59 -79
1.35881 46 -76
1.360548 19 -76
1.37002 29 -67
1.374342 5 -75
1.375419 31 -77
1.377343 21 -73
1.382889 25 -76
1.391328 53 -73
1.398885 22 -79
1.40062 2 -69
1.409241 54 -76
1.411769 52 -77
1.415672 8 -73
1.41702 49 -76
1.417716 45 -74
1.427054 28 -72
1.427686 10 -76
1.434557 27 -71
1.436603 48 -77
1.438048 9 -74
1.443108 3 -58
1.445966 11 -82
1.453362 1 -63
1.457706 17 -79
1.458852 44 -75
1.461131 46 -77
1.461899 30 -72
1.463899 55 -72
1.470387 29 -72
1.474511 41 -86
1.4785 26 -68
1.483712 5 -73
1.485612 31 -76
1.487274 32 -78
1.489879 25 -78
1.495449 53 -73
1.497894 14 -83
1.499008 22 -79
1.510295 2 -68
1.515146 20 -75
1.517176 54 -75
1.518606 52 -76
1.521259 8 -74
1.52456 49 -76
1.534981 10 -77
1.54046 9 -74
1.542614 27 -70
1.543343 4 -59
1.551989 3 -65
1.556883 34 -81
1.558815 51 -74
1.559515 18 -76
1.561814 44 -76
1.562526 7 -84
1.565803 59 -81
1.574032 55 -72
1.57471 19 -76
1.579024 29 -72
1.580482 56 -80
1.58591 5 -73
1.590174 33 -78
1.591838 31 -76
1.592432 32 -77
1.593086 25 -78
1.598869 53 -72
1.602335 58 -83
1.60316 22 -78
1.616126 2 -68
1.620168 54 -75
1.622239 52 -76
1.62537 20 -74
1.633312 45 -75
1.636588 60 -75
1.644111 27 -70
1.651161 40 -82
1.652813 3 -65
1.653385 4 -58
1.656865 11 -83
1.658979 1 -63
1.661045 51 -74
1.661691 6 -80
1.66383 23 -80
1.667391 59 -81
1.670329 44 -75
1.671473 17 -82
1.675657 19 -76
1.678686 30 -72
1.679687 46 -71
1.682639 55 -72
1.692869 5 -72
1.693455 26 -68
1.694311 31 -77
1.699696 32 -78
1.702459 58 -83
1.703021 53 -73
1.703619 22 -79
1.725038 2 -65
1.727157 54 -75
1.728405 52 -76
1.73301 8 -74
1.735593 20 -74
1.742865 28 -72
1.744323 10 -77
1.745378 60 -74
1.747102 27 -70
1.748366 9 -74
1.755157 4 -58
1.759405 3 -65
1.764251 51 -74
1.768898 1 -63
1.769649 18 -76
1.772985 44 -75
1.776394 59 -81
1.779656 19 -76
1.780874 17 -82
1.785373 29 -71
1.793393 56 -81
1.795402 5 -73
1.799803 26 -69
1.801178 31 -77
1.802566 32 -78
1.803465 25 -79
1.804017 22 -80
1.804884 53 -74
1.808106 58 -83
1.82789 54 -75
1.829556 2 -68
1.83094 52 -76
1.831646 49 -76
1.835175 45 -75
1.836471 43 -84
1.841007 8 -75
1.844963 20 -75
1.84549 28 -72
1.85035 9 -73
1.852093 60 -75
1.853388 10 -77
1.856441 27 -70
1.857515 48 -79
1.860957 4 -59
1.867184 11 -82
1.868774 3 -65
1.869924 18 -76
1.871035 1 -63
1.874232 51 -74
1.874879 23 -79
1.8785 59 -81
1.881775 44 -75
1.883197 19 -76
1.884171 17 -82
1.893455 56 -80
1.894132 29 -72
1.89645 30 -72
1.899035 5 -73
1.90098 33 -78
1.901483 31 -76
1.904748 25 -79
1.905374 32 -78
1.90841 26 -69
1.91482 58 -83
1.931512 2 -68
1.932071 54 -75
1.933967 49 -76
1.936373 52 -76
1.939783 45 -74
1.94127 35 -83
1.947112 8 -76
1.949633 20 -74
1.950992 9 -74
1.952937 28 -72
1.957572 27 -70
1.958638 10 -77
1.959693 60 -74
1.962156 48 -78
1.963522 4 -59
1.975979 1 -63
1.976891 6 -79
