Timestamp Beacon Rssi
0.046789 27 -75
0.078181 20 -76
0.078742 44 -79
0.091718 52 -77
0.098445 55 -70
0.11619 51 -81
0.153 56 -82
0.154201 22 -80
0.155965 30 -78
0.180753 6 -76
0.200553 21 -76
0.230641 29 -80
0.266294 58 -84
0.268085 47 -84
0.291339 54 -78
0.325502 4 -66
0.377483 49 -78
0.47649 8 -69
0.506095 26 -70
0.523331 5 -67
0.548228 50 -79
0.611 3 -60
0.66116 28 -72
0.728568 46 -73
0.748071 25 -76
0.834444 53 -72
0.863564 2 -76
1.000873 17 -79
1.051349 27 -80
1.085089 20 -78
1.086446 44 -79
1.100462 52 -78
1.106671 55 -70
1.158337 22 -80
1.160284 30 -76
1.184396 6 -76
1.20103 21 -76
1.238828 29 -78
1.269564 47 -82
1.273723 58 -82
1.292842 9 -76
1.299556 54 -76
1.325583 4 -64
1.328266 40 -81
1.378724 49 -78
1.483557 8 -68
1.506595 26 -70
1.524135 5 -66
1.526959 1 -72
1.551756 50 -82
1.669349 28 -73
1.738684 46 -75
1.756209 25 -76
1.839742 53 -72
1.867702 2 -65
2.007727 17 -82
2.053071 27 -80
2.089556 20 -78
2.100906 52 -78
2.106719 55 -69
2.128835 51 -76
2.160075 56 -83
2.164424 22 -80
2.166373 30 -75
2.192188 6 -75
2.205504 21 -75
2.301734 9 -76
2.30582 54 -76
2.329143 4 -67
2.384146 49 -77
2.492271 8 -67
2.512008 26 -70
2.532308 1 -74
2.621541 3 -62
2.670062 28 -75
2.742391 46 -75
2.765872 25 -75
2.845835 53 -71
2.875014 2 -72
2.926017 34 -83
3.007685 17 -80
3.061934 27 -80
3.091917 20 -76
3.109406 52 -78
3.111345 55 -68
3.121527 60 -84
3.134439 51 -76
3.165569 22 -80
3.16819 30 -76
3.195769 6 -74
3.207659 21 -76
3.249801 29 -82
3.307903 54 -76
3.310564 9 -76
3.337463 4 -67
3.388348 49 -76
3.454608 45 -80
3.501871 8 -67
3.516444 26 -70
3.537811 1 -72
3.54161 5 -67
3.551946 50 -82
3.622859 3 -62
3.670012 28 -74
3.775779 25 -76
3.855955 53 -72
3.883425 2 -74
4.062679 27 -79
4.100554 44 -75
4.111681 52 -78
4.117863 55 -69
4.138092 51 -78
4.172084 22 -81
4.176202 30 -77
4.19639 6 -75
4.211951 21 -75
4.259941 29 -76
4.310047 54 -76
4.310667 9 -78
4.338398 4 -65
4.396882 49 -76
4.510768 8 -69
4.526435 26 -70
4.543588 1 -56
4.557579 50 -80
4.625368 3 -61
4.679941 28 -73
4.75237 46 -73
4.780986 25 -76
4.803159 18 -82
4.857592 53 -72
4.889547 2 -73
5.101574 44 -78
5.103443 20 -78
5.112705 52 -78
5.118948 55 -70
5.126161 60 -82
5.141133 51 -80
5.181193 22 -80
5.185587 30 -76
5.202504 6 -76
5.212824 21 -75
5.265533 29 -75
5.299919 59 -84
5.312374 54 -77
5.320658 9 -76
5.339914 4 -66
5.399436 49 -76
5.520612 8 -68
5.531329 26 -70
5.548296 1 -70
5.560215 5 -68
5.565044 50 -79
5.627083 3 -62
5.652577 33 -81
5.688374 28 -73
5.75858 46 -73
5.784241 25 -75
5.812048 18 -83
5.866156 53 -71
5.894967 2 -76
6.017966 17 -83
6.07012 27 -79
6.103083 44 -79
6.104706 20 -79
6.113362 52 -76
6.126351 55 -71
6.147501 51 -81
6.189234 22 -81
6.194056 30 -76
6.209289 6 -76
6.221388 21 -75
6.268807 29 -75
6.313053 54 -78
6.321279 9 -73
6.346952 4 -69
6.364848 40 -82
6.409191 49 -76
6.499296 11 -82
6.526458 8 -68
6.535247 26 -72
6.549068 1 -72
6.567931 50 -80
6.570357 5 -67
6.630201 3 -62
6.654085 33 -82
6.691315 28 -74
6.765583 46 -73
6.785085 25 -74
6.866481 53 -71
7.117254 52 -76
7.129024 60 -82
7.155608 51 -80
7.185496 56 -83
7.194071 22 -81
7.201061 30 -75
7.218974 6 -76
7.223635 21 -75
7.270921 29 -76
7.29846 47 -83
7.314343 54 -78
7.326936 9 -74
7.349963 4 -69
7.372274 40 -81
7.417787 49 -76
7.477282 45 -81
7.534867 8 -68
7.536271 36 -83
7.550786 1 -73
7.554282 43 -81
7.569872 50 -80
7.576775 5 -66
7.634236 3 -62
7.65422 33 -82
7.689808 7 -82
7.697429 28 -73
7.774326 46 -75
7.792703 25 -73
7.818199 18 -83
7.872267 53 -70
7.903793 2 -73
8.110312 44 -80
8.111503 20 -81
8.136029 55 -70
8.13685 60 -81
8.197778 22 -82
8.208493 30 -74
8.229513 21 -72
8.274378 29 -74
8.316579 54 -79
8.327191 9 -75
8.355078 4 -67
8.422537 49 -78
8.483027 45 -76
8.54288 8 -69
8.555396 43 -75
8.563184 10 -80
8.578099 50 -82
8.585513 5 -64
8.641627 3 -67
8.657589 33 -83
8.705282 28 -71
8.77904 46 -79
8.800505 25 -76
8.878085 53 -70
8.903812 2 -69
9.088224 27 -80
9.120332 20 -72
9.144278 60 -78
9.144866 55 -71
9.167215 51 -82
9.212385 30 -79
9.236825 21 -73
9.277835 29 -69
9.306905 23 -77
9.328911 9 -78
9.364253 4 -63
9.427441 49 -76
9.480045 12 -84
9.486941 45 -78
9.499697 31 -83
9.514469 11 -80
9.541324 26 -81
9.546392 36 -82
9.552937 8 -69
9.561242 1 -76
9.571745 10 -82
9.588025 5 -62
9.606824 41 -81
9.662301 33 -80
9.711579 28 -75
9.80327 25 -78
9.879783 53 -69
9.904349 2 -73
9.952959 34 -79
10.094005 27 -76
10.127759 20 -74
10.146043 55 -64
10.172019 16 -85
10.174559 51 -82
10.213011 30 -70
10.231151 6 -73
10.243588 21 -70
10.287761 29 -80
10.310161 47 -78
10.313542 59 -79
10.314579 23 -80
10.391622 40 -84
10.493052 45 -77
10.503459 31 -78
10.559393 8 -72
10.561739 1 -70
10.565652 43 -82
10.593803 5 -75
10.594402 50 -83
10.615566 41 -83
10.658514 3 -75
10.713086 28 -66
10.788286 46 -81
10.883373 53 -75
11.094658 27 -70
11.128275 52 -73
11.135674 20 -64
11.154117 55 -68
11.162552 60 -80
11.174425 24 -80
11.233877 6 -65
11.248093 21 -72
11.331861 54 -76
11.340164 9 -75
11.377415 4 -61
11.436087 49 -76
11.481858 12 -76
11.525072 11 -80
11.554987 26 -69
11.565257 1 -66
11.568657 8 -70
11.589296 10 -76
11.596404 50 -78
11.599916 5 -65
11.618022 41 -78
11.668224 3 -62
11.679966 33 -80
11.706548 7 -84
11.71627 28 -70
11.807582 25 -82
11.892791 53 -83
11.915006 2 -70
11.962383 34 -79
12.096747 27 -79
12.112458 42 -78
12.128827 44 -73
12.138828 20 -70
12.159963 55 -79
12.165434 60 -75
12.205508 15 -79
12.225548 22 -79
12.235262 6 -68
12.247857 19 -81
12.301144 29 -77
12.340144 9 -73
12.381829 4 -58
12.515102 31 -71
12.519512 32 -74
12.530038 11 -77
12.574444 43 -82
12.578348 8 -74
12.596149 10 -77
12.601793 50 -77
12.67531 3 -68
12.682328 33 -78
12.722721 28 -73
12.795487 46 -76
12.968011 34 -64
13.132869 44 -69
13.140486 20 -68
13.161537 55 -75
13.171458 60 -70
13.180885 16 -76
13.189909 51 -78
13.206779 15 -77
13.239361 6 -67
13.258384 21 -73
13.305424 29 -69
13.327035 58 -79
13.328826 59 -82
13.347143 9 -81
13.38548 4 -66
13.518803 31 -73
13.526177 32 -76
13.569048 26 -81
13.569548 1 -79
13.578396 8 -75
13.59699 10 -73
13.603141 5 -54
13.605565 50 -80
13.68325 3 -76
13.689665 33 -80
13.722975 28 -76
13.796387 46 -80
13.907966 53 -72
13.927554 2 -76
13.973211 34 -79
14.106201 27 -80
14.137918 44 -73
14.138639 52 -73
14.144617 20 -70
14.163019 55 -75
14.179924 60 -76
14.185264 16 -78
14.19533 51 -74
14.24633 6 -55
14.256308 19 -76
14.260784 21 -76
14.305982 29 -71
14.338689 54 -75
14.350267 9 -72
14.392671 4 -72
14.423127 40 -80
14.448569 49 -82
14.525067 31 -66
14.531347 32 -78
14.539086 11 -56
14.58116 8 -67
14.585981 43 -81
14.597556 10 -78
14.612244 5 -62
14.633261 41 -81
14.694866 33 -81
14.725275 28 -76
14.830254 25 -83
14.911342 53 -79
15.067817 17 -80
15.111128 27 -77
15.125692 42 -80
15.145224 44 -76
15.16226 37 -82
15.170269 55 -66
15.201759 51 -74
15.209063 56 -78
15.244116 22 -81
