Beacon Rssi
2 -85
2 -82
3 -84
3 -86
3 -83
3 -82
3 -82
3 -83
3 -85
16 -84
16 -82
16 -82
16 -83
16 -84
16 -85
16 -84
16 -83
16 -79
16 -82
16 -84
16 -83
16 -84
16 -85
16 -84
17 -86
17 -85
17 -85
17 -85
17 -85
17 -84
18 -82
18 -83
18 -83
18 -83
18 -85
18 -81
18 -80
18 -81
18 -79
18 -81
18 -82
18 -84
18 -82
18 -83
18 -84
18 -83
18 -84
19 -52
19 -82
19 -82
19 -83
19 -82
19 -82
19 -82
19 -82
19 -82
19 -81
19 -81
19 -80
19 -82
19 -81
19 -80
19 -81
19 -82
19 -83
19 -82
19 -82
19 -82
19 -82
19 -81
19 -81
19 -81
19 -82
19 -81
19 -82
19 -83
19 -81
19 -81
20 -83
20 -83
20 -81
20 -82
20 -82
20 -80
20 -79
20 -80
20 -82
20 -82
20 -80
20 -81
20 -79
20 -80
20 -80
20 -80
20 -81
20 -83
21 -78
21 -76
21 -78
21 -80
21 -80
21 -76
21 -80
21 -79
21 -79
21 -79
21 -76
21 -80
21 -79
21 -78
21 -80
21 -75
21 -76
21 -78
21 -76
21 -76
21 -76
21 -76
21 -76
21 -76
21 -76
21 -76
21 -76
21 -76
21 -76
21 -76
21 -75
21 -74
21 -76
21 -75
21 -76
21 -76
21 -76
21 -76
21 -76
21 -77
21 -78
21 -78
21 -77
21 -77
21 -76
21 -77
21 -78
21 -79
21 -80
21 -78
21 -77
21 -76
21 -76
21 -76
21 -76
21 -78
21 -78
21 -80
21 -80
21 -80
21 -81
21 -82
21 -80
21 -81
21 -82
21 -78
21 -78
21 -78
21 -79
21 -79
21 -79
21 -80
21 -81
21 -79
21 -77
22 -79
22 -79
22 -79
22 -75
22 -75
22 -76
22 -76
22 -73
22 -74
22 -72
22 -73
22 -74
22 -75
22 -73
22 -76
22 -79
22 -77
22 -75
22 -74
22 -82
22 -55
22 -81
22 -79
22 -76
22 -76
22 -75
22 -76
22 -76
22 -78
22 -78
22 -77
22 -76
22 -78
22 -79
22 -79
22 -76
22 -75
22 -75
22 -74
22 -74
22 -75
22 -76
22 -75
22 -75
22 -76
22 -75
22 -75
22 -76
22 -75
22 -74
22 -73
22 -74
22 -74
22 -75
22 -74
22 -73
22 -74
22 -76
22 -76
22 -75
22 -75
22 -75
22 -75
22 -74
22 -73
22 -74
22 -74
22 -75
22 -75
22 -76
22 -75
22 -75
22 -75
22 -75
22 -75
22 -76
22 -78
22 -78
23 -80
23 -84
23 -85
23 -84
23 -85
23 -83
23 -85
23 -84
24 -71
24 -72
24 -71
24 -78
24 -73
24 -76
24 -76
24 -76
24 -72
24 -73
24 -72
24 -72
24 -73
24 -75
24 -74
24 -76
24 -76
24 -80
24 -81
24 -75
24 -81
24 -81
24 -79
24 -80
24 -81
24 -84
24 -83
24 -86
24 -82
24 -78
24 -76
24 -76
24 -77
24 -78
24 -77
24 -76
24 -78
24 -78
24 -78
24 -78
24 -79
24 -80
24 -80
24 -80
24 -78
24 -78
24 -78
24 -80
24 -81
24 -81
24 -82
24 -81
24 -82
24 -81
24 -82
24 -82
24 -83
24 -82
25 -82
25 -83
25 -84
25 -82
25 -82
25 -79
25 -80
25 -78
25 -82
25 -82
25 -81
25 -80
25 -81
25 -78
25 -79
25 -78
25 -78
25 -78
25 -78
25 -79
25 -78
25 -79
25 -78
25 -78
25 -79
25 -79
25 -79
25 -79
25 -78
25 -78
25 -78
25 -80
25 -81
25 -81
25 -79
25 -81
25 -81
25 -82
25 -81
25 -81
25 -82
25 -81
25 -76
25 -82
26 -79
26 -76
26 -81
26 -78
26 -84
26 -83
26 -81
26 -81
26 -81
26 -79
26 -79
26 -81
26 -81
26 -83
26 -81
26 -82
26 -81
26 -82
26 -79
26 -84
26 -82
26 -81
26 -83
27 -79
27 -78
27 -82
27 -83
27 -84
27 -82
27 -81
27 -81
27 -83
27 -84
28 -84
29 -85
30 -83
30 -83
30 -81
30 -82
30 -82
30 -82
30 -84
30 -83
30 -81
30 -83
30 -83
30 -83
30 -83
30 -83
30 -83
30 -83
30 -84
30 -83
31 -85
31 -87
32 -81
32 -82
32 -82
32 -83
32 -83
32 -84
35 -71
41 -83
41 -84
41 -84
41 -85
41 -84
41 -50
41 -84
41 -84
41 -85
41 -85
42 -83
42 -82
42 -82
42 -83
42 -83
42 -84
42 -83
42 -83
42 -83
42 -84
43 -84
43 -82
43 -84
43 -85
44 -68
44 -76
44 -60
44 -78
44 -77
44 -76
44 -81
44 -80
44 -81
44 -81
44 -82
44 -78
44 -76
44 -77
44 -76
44 -76
44 -52
44 -83
44 -80
44 -80
44 -82
44 -78
44 -84
44 -78
44 -79
44 -82
44 -81
44 -81
44 -82
44 -81
44 -80
44 -80
44 -82
44 -83
44 -81
44 -81
44 -80
44 -80
44 -80
44 -78
44 -80
44 -81
44 -81
44 -81
44 -78
44 -78
44 -77
44 -78
44 -78
44 -77
