Beacon Rssi
1 -82
1 -78
1 -77
1 -77
1 -78
1 -78
1 -78
1 -78
1 -77
1 -77
1 -77
1 -75
1 -76
1 -76
1 -76
1 -75
1 -76
1 -76
1 -76
1 -76
1 -78
1 -76
1 -76
1 -78
2 -78
2 -80
2 -82
2 -81
2 -82
2 -80
2 -81
2 -84
2 -82
2 -84
2 -83
2 -84
2 -81
3 -83
3 -82
3 -82
8 -85
8 -54
19 -83
19 -84
21 -83
21 -80
21 -78
21 -78
21 -80
21 -75
21 -77
21 -78
21 -81
21 -83
21 -82
21 -82
21 -80
22 -76
22 -77
22 -78
22 -78
22 -82
22 -76
22 -83
22 -78
22 -78
22 -78
22 -78
22 -80
22 -82
22 -80
22 -79
22 -77
22 -77
22 -77
22 -76
22 -75
22 -76
22 -77
22 -78
22 -80
22 -77
22 -76
22 -77
22 -77
22 -77
22 -77
22 -79
22 -82
23 -79
23 -79
23 -78
23 -80
23 -78
23 -76
23 -76
23 -78
23 -76
23 -75
23 -75
23 -75
23 -76
23 -76
23 -75
23 -75
23 -76
23 -76
23 -75
23 -76
23 -78
23 -78
24 -77
24 -83
24 -83
24 -71
24 -73
24 -78
24 -76
24 -78
24 -78
24 -79
24 -75
24 -74
24 -74
24 -76
24 -74
24 -73
24 -72
24 -71
24 -72
24 -74
24 -72
24 -72
24 -72
24 -73
24 -73
24 -72
24 -75
24 -77
24 -76
24 -72
24 -80
24 -80
25 -74
25 -77
25 -76
25 -74
25 -73
25 -74
25 -71
25 -70
25 -69
25 -68
25 -68
25 -69
25 -69
25 -69
25 -69
25 -70
25 -70
25 -72
25 -72
25 -72
25 -72
25 -71
25 -70
25 -70
25 -70
25 -70
25 -70
25 -70
25 -69
25 -69
25 -70
25 -69
25 -69
25 -69
25 -70
26 -70
26 -72
26 -72
26 -68
26 -70
26 -65
26 -64
26 -68
26 -67
26 -67
26 -67
26 -67
26 -66
26 -66
26 -66
26 -67
26 -66
26 -68
26 -68
26 -67
26 -64
26 -66
26 -64
26 -67
26 -67
26 -69
26 -68
26 -67
26 -68
26 -66
26 -67
26 -67
26 -76
26 -66
26 -67
26 -67
27 -80
27 -78
27 -78
27 -78
27 -79
27 -76
27 -76
27 -75
27 -75
27 -75
27 -74
27 -74
27 -74
27 -74
27 -76
27 -75
27 -76
27 -76
27 -76
27 -76
27 -76
27 -75
27 -76
27 -75
27 -75
27 -76
27 -76
27 -78
27 -79
28 -83
28 -84
28 -79
28 -79
28 -81
28 -83
28 -84
28 -82
30 -83
30 -84
31 -82
32 -84
32 -84
41 -86
41 -85
41 -86
42 -84
42 -86
43 -83
43 -84
44 -86
44 -82
44 -82
44 -80
44 -80
44 -79
44 -79
44 -81
44 -80
44 -80
44 -81
44 -82
44 -83
44 -84
45 -86
45 -84
45 -86
45 -83
46 -79
46 -84
46 -78
46 -83
46 -85
46 -83
46 -83
46 -83
46 -82
46 -82
46 -82
46 -83
47 -80
47 -80
47 -80
47 -76
47 -80
47 -85
47 -81
47 -78
47 -79
47 -83
47 -85
47 -77
47 -78
47 -77
49 -75
49 -75
49 -76
49 -81
49 -72
49 -71
49 -77
49 -79
49 -79
49 -78
49 -80
49 -80
49 -79
49 -81
49 -81
49 -79
49 -76
49 -76
49 -77
49 -76
49 -78
49 -80
49 -79
49 -80
49 -76
49 -80
49 -80
50 -69
50 -69
50 -70
50 -70
50 -70
50 -72
50 -70
50 -72
50 -73
50 -70
50 -72
50 -73
50 -75
50 -78
50 -78
50 -77
50 -76
50 -76
50 -75
50 -76
50 -80
50 -77
50 -72
50 -73
50 -77
50 -76
50 -79
50 -75
50 -76
50 -74
50 -74
50 -76
50 -74
50 -73
50 -73
50 -72
51 -76
51 -77
51 -76
51 -77
51 -76
51 -78
51 -78
51 -76
51 -76
51 -76
51 -76
51 -76
51 -77
51 -76
51 -76
51 -76
51 -52
51 -52
51 -52
51 -75
51 -52
51 -75
51 -76
51 -76
51 -75
51 -76
51 -75
51 -71
51 -75
51 -76
51 -76
51 -78
51 -78
52 -83
52 -81
52 -83
52 -82
52 -79
52 -78
52 -79
52 -80
52 -81
53 -83
54 -81
54 -80
54 -76
54 -78
54 -80
54 -78
54 -76
54 -77
54 -76
54 -76
54 -76
54 -76
54 -76
54 -77
54 -76
54 -76
54 -76
54 -77
54 -76
54 -76
54 -76
54 -76
54 -76
54 -76
54 -76
54 -77
54 -76
54 -76
54 -76
55 -79
55 -77
55 -80
55 -70
55 -74
55 -80
55 -78
55 -75
55 -75
55 -76
55 -76
55 -79
55 -80
55 -81
55 -79
55 -77
55 -77
55 -80
55 -81
55 -81
55 -82
57 -87
58 -86
58 -85
