Beacon Rssi
1 -85
1 -84
1 -84
1 -85
2 -84
2 -80
2 -80
2 -80
2 -85
2 -87
2 -84
2 -85
2 -84
3 -80
3 -84
3 -83
3 -81
3 -82
3 -82
3 -81
3 -84
3 -84
3 -84
3 -83
3 -82
3 -80
3 -81
3 -82
3 -81
3 -82
3 -81
3 -80
3 -81
3 -81
3 -80
3 -81
3 -80
3 -83
3 -83
3 -82
3 -81
3 -81
3 -79
3 -81
3 -81
3 -81
3 -80
3 -80
4 -82
4 -82
4 -84
4 -85
4 -83
4 -71
4 -85
4 -84
4 -82
4 -84
4 -83
4 -81
4 -83
4 -84
4 -84
4 -84
4 -83
4 -84
4 -84
4 -83
5 -85
5 -84
5 -84
5 -81
5 -83
5 -83
5 -84
5 -79
5 -80
5 -82
5 -82
5 -83
5 -83
5 -83
5 -81
5 -78
5 -76
5 -78
5 -78
5 -78
5 -78
5 -79
5 -80
5 -83
5 -81
5 -82
5 -83
5 -87
5 -84
5 -82
5 -81
5 -82
5 -81
5 -82
6 -85
6 -77
6 -78
6 -81
6 -83
6 -85
6 -86
6 -83
6 -80
6 -80
6 -78
6 -79
6 -80
6 -80
6 -78
6 -81
6 -80
6 -79
6 -81
6 -84
6 -84
6 -82
6 -81
6 -85
6 -84
6 -83
6 -81
6 -81
6 -83
6 -86
6 -84
6 -84
6 -81
6 -82
6 -84
7 -82
7 -82
7 -82
7 -82
7 -79
7 -82
7 -83
7 -82
7 -81
7 -84
7 -82
7 -82
7 -83
7 -83
7 -83
7 -87
8 -83
8 -80
8 -79
8 -80
8 -81
8 -81
8 -80
8 -81
8 -82
8 -60
8 -79
8 -78
8 -78
8 -78
8 -78
8 -78
8 -74
8 -78
8 -80
8 -81
8 -83
8 -78
8 -81
8 -81
8 -82
8 -85
8 -84
8 -83
8 -83
8 -83
8 -83
9 -80
9 -80
9 -79
9 -81
9 -80
9 -82
9 -81
9 -82
9 -52
9 -82
9 -83
9 -83
9 -71
9 -79
9 -78
9 -75
9 -78
9 -80
9 -83
9 -80
9 -81
9 -81
9 -83
9 -86
9 -87
9 -84
9 -83
9 -84
9 -83
9 -81
9 -80
9 -80
9 -81
9 -84
9 -83
9 -86
9 -85
9 -84
10 -84
10 -81
10 -81
10 -81
10 -81
10 -82
10 -82
10 -81
10 -82
10 -82
10 -83
11 -82
11 -80
11 -82
11 -82
11 -81
11 -82
11 -80
11 -82
11 -83
11 -83
11 -84
11 -83
11 -83
11 -83
11 -83
12 -87
12 -86
13 -69
13 -79
13 -82
13 -79
13 -78
13 -78
13 -79
13 -83
13 -86
13 -81
13 -81
13 -82
13 -82
13 -84
13 -83
13 -85
13 -87
14 -78
14 -82
14 -81
14 -80
14 -78
14 -78
14 -79
14 -78
14 -79
14 -80
14 -78
14 -82
14 -83
14 -81
14 -79
14 -79
14 -76
14 -76
14 -77
14 -78
14 -72
14 -80
14 -80
14 -77
14 -76
14 -78
14 -81
14 -84
14 -83
14 -82
14 -81
14 -81
14 -85
14 -81
14 -83
14 -82
14 -82
14 -80
14 -78
14 -79
14 -78
14 -81
14 -84
14 -82
14 -80
14 -79
14 -79
14 -79
14 -80
14 -81
15 -74
15 -72
15 -70
15 -71
15 -70
15 -70
15 -70
15 -70
15 -70
15 -70
15 -70
15 -70
15 -72
15 -73
15 -75
15 -74
15 -76
15 -76
15 -76
15 -76
15 -75
15 -74
15 -74
15 -73
15 -73
15 -74
15 -50
15 -76
15 -79
15 -76
15 -75
15 -75
15 -73
15 -72
15 -75
15 -76
15 -79
15 -79
15 -76
15 -76
15 -75
15 -73
15 -73
15 -72
15 -70
15 -70
15 -71
15 -70
15 -72
15 -72
15 -72
15 -73
15 -74
15 -75
15 -75
15 -66
15 -74
15 -73
15 -74
15 -75
15 -74
15 -74
15 -74
15 -74
15 -77
15 -78
15 -78
15 -78
15 -78
15 -76
15 -77
15 -76
15 -74
15 -74
15 -74
15 -76
15 -76
16 -75
16 -76
16 -76
16 -75
16 -78
16 -77
16 -75
16 -76
16 -79
16 -70
16 -74
16 -72
16 -69
16 -66
16 -65
16 -64
16 -64
16 -64
16 -64
16 -66
16 -66
16 -67
16 -70
16 -82
16 -76
16 -78
16 -78
16 -77
16 -74
16 -72
16 -70
16 -69
16 -69
16 -82
16 -75
16 -73
16 -72
16 -73
16 -75
16 -76
16 -78
16 -76
16 -76
16 -77
16 -72
16 -73
16 -71
16 -72
16 -70
16 -70
16 -72
16 -72
16 -73
16 -73
16 -73
16 -73
16 -73
16 -72
16 -70
16 -70
16 -67
16 -70
16 -71
16 -74
16 -75
16 -78
16 -78
16 -76
16 -60
16 -78
16 -76
16 -77
17 -71
17 -70
17 -71
17 -70
17 -70
17 -70
17 -72
17 -77
17 -70
17 -84
17 -84
17 -82
17 -80
17 -73
17 -75
17 -83
17 -75
17 -78
17 -76
17 -74
17 -72
17 -72
17 -70
17 -78
17 -72
17 -72
17 -72
17 -73
17 -74
17 -76
17 -84
17 -82
17 -80
17 -83
17 -83
17 -85
17 -79
17 -79
17 -79
17 -82
17 -82
18 -74
18 -70
18 -70
18 -71
18 -74
18 -75
18 -73
18 -74
18 -74
18 -74
18 -76
18 -72
18 -73
18 -76
18 -68
18 -66
18 -66
18 -67
18 -67
18 -68
18 -68
18 -69
18 -70
18 -69
18 -70
18 -63
18 -73
18 -78
18 -70
18 -69
18 -68
18 -68
18 -68
18 -68
18 -69
18 -76
18 -78
18 -82
18 -80
18 -79
18 -82
18 -80
18 -82
18 -75
18 -72
18 -73
18 -74
18 -72
18 -72
18 -74
18 -72
18 -83
18 -72
18 -72
18 -74
18 -72
18 -71
18 -70
18 -70
18 -70
18 -70
18 -72
18 -73
18 -74
18 -76
18 -76
18 -70
18 -76
18 -76
18 -76
19 -68
19 -70
19 -73
19 -71
19 -70
19 -77
19 -76
19 -72
19 -68
19 -53
19 -66
19 -68
19 -71
19 -70
19 -71
19 -74
19 -74
19 -73
19 -73
19 -74
19 -75
19 -72
19 -69
19 -70
19 -73
19 -73
19 -76
19 -74
19 -72
19 -70
19 -72
19 -74
19 -73
19 -71
19 -69
19 -67
19 -70
19 -70
19 -72
19 -73
19 -71
19 -70
19 -72
19 -71
19 -69
19 -68
19 -67
19 -68
19 -68
19 -70
19 -72
19 -69
19 -69
19 -69
19 -70
19 -70
19 -72
19 -71
19 -72
19 -72
19 -71
19 -71
19 -71
19 -72
19 -73
19 -73
19 -73
19 -73
19 -71
19 -72
19 -72
19 -72
19 -73
19 -72
20 -76
20 -78
20 -69
20 -70
20 -72
20 -73
20 -72
20 -72
20 -70
20 -71
20 -72
20 -75
20 -74
20 -84
20 -76
20 -67
20 -68
20 -66
20 -67
20 -67
20 -72
20 -70
20 -72
20 -75
20 -72
20 -72
20 -72
20 -70
20 -67
20 -70
20 -70
20 -70
20 -69
20 -67
20 -67
20 -67
20 -68
20 -68
20 -68
20 -66
20 -66
20 -63
20 -66
20 -67
20 -67
20 -66
20 -67
20 -66
20 -68
20 -68
20 -67
20 -66
20 -66
20 -66
20 -67
20 -68
20 -66
20 -66
20 -66
20 -66
20 -67
20 -67
20 -68
20 -69
20 -69
20 -68
20 -67
20 -66
20 -65
20 -66
20 -66
20 -66
20 -67
20 -68
20 -68
20 -69
20 -68
20 -68
20 -68
20 -68
20 -68
21 -70
21 -69
21 -70
21 -69
21 -68
21 -66
21 -66
21 -66
21 -67
21 -66
21 -66
21 -67
21 -82
21 -70
21 -70
21 -70
21 -76
21 -81
21 -80
21 -75
21 -76
21 -77
21 -68
21 -75
21 -69
21 -66
21 -67
21 -67
21 -72
21 -73
21 -74
21 -74
21 -75
21 -73
21 -79
21 -84
21 -78
21 -78
21 -81
21 -78
21 -84
21 -79
21 -76
21 -74
21 -78
21 -76
21 -74
21 -73
21 -71
21 -71
21 -72
21 -75
21 -77
21 -76
21 -75
21 -72
21 -72
21 -73
21 -72
21 -73
21 -72
21 -73
21 -73
22 -74
22 -80
22 -78
22 -75
22 -77
22 -76
22 -76
22 -76
22 -78
22 -79
22 -79
22 -79
22 -78
22 -80
22 -78
22 -77
22 -80
22 -82
22 -80
22 -79
22 -78
22 -76
22 -76
22 -77
22 -78
22 -78
22 -80
22 -79
22 -79
22 -78
22 -79
22 -82
22 -82
22 -79
22 -77
22 -48
22 -76
22 -76
22 -76
22 -76
22 -78
22 -78
22 -79
22 -81
22 -79
22 -82
22 -79
22 -79
22 -79
22 -80
22 -79
22 -78
22 -79
22 -78
22 -79
22 -79
22 -78
22 -78
22 -78
22 -78
22 -78
22 -78
22 -78
22 -78
22 -78
23 -75
23 -75
23 -78
23 -78
23 -76
23 -76
23 -79
23 -82
23 -82
23 -81
23 -81
23 -81
23 -76
23 -70
23 -77
23 -75
23 -73
23 -75
23 -75
23 -76
23 -74
23 -73
23 -72
23 -73
23 -73
23 -74
23 -73
23 -73
23 -74
23 -76
23 -76
23 -79
23 -82
23 -85
23 -82
23 -83
23 -79
23 -79
23 -80
23 -78
23 -78
23 -79
23 -78
23 -77
23 -82
23 -81
23 -77
23 -76
23 -76
23 -74
23 -75
23 -74
23 -76
23 -76
23 -76
23 -75
23 -74
23 -73
23 -72
23 -73
23 -74
23 -75
23 -75
23 -75
23 -73
23 -73
24 -78
24 -80
24 -83
24 -85
24 -84
24 -83
24 -79
24 -80
24 -81
24 -81
24 -82
24 -83
24 -85
24 -79
24 -81
24 -80
24 -82
25 -83
25 -82
25 -83
25 -80
25 -78
25 -80
25 -83
25 -82
25 -84
25 -84
25 -83
25 -82
25 -80
25 -79
25 -79
25 -80
25 -81
25 -80
25 -80
25 -78
25 -79
25 -78
25 -79
25 -79
25 -78
26 -81
26 -81
26 -81
26 -81
26 -78
26 -78
26 -79
26 -80
26 -80
26 -79
26 -76
26 -77
26 -79
26 -79
26 -81
26 -81
26 -78
26 -82
26 -83
26 -80
26 -79
26 -81
26 -82
26 -83
26 -83
26 -82
26 -81
26 -84
26 -84
26 -82
26 -82
26 -82
26 -82
26 -81
26 -80
26 -80
26 -80
26 -79
26 -80
26 -80
26 -82
26 -83
26 -81
26 -80
26 -80
26 -78
26 -78
26 -78
26 -78
26 -79
26 -79
26 -79
26 -78
26 -78
27 -80
27 -80
27 -82
27 -79
27 -83
27 -82
27 -82
27 -83
27 -83
27 -81
27 -77
27 -76
27 -76
27 -76
27 -77
27 -76
27 -76
27 -73
27 -76
27 -78
27 -81
27 -80
27 -81
27 -84
27 -81
27 -81
27 -84
27 -81
27 -82
27 -70
27 -79
27 -83
27 -81
27 -81
27 -79
27 -81
27 -79
27 -78
27 -78
27 -77
27 -78
27 -78
27 -78
27 -78
27 -80
27 -80
27 -81
27 -81
27 -80
27 -80
28 -78
28 -78
28 -76
28 -76
28 -75
28 -76
28 -76
28 -74
28 -76
28 -76
28 -76
28 -80
28 -76
28 -78
28 -82
28 -84
28 -84
28 -80
28 -76
28 -74
28 -72
28 -72
28 -73
28 -78
28 -84
28 -77
28 -81
28 -76
28 -80
28 -77
28 -77
28 -76
28 -77
28 -78
28 -75
28 -74
28 -73
28 -73
28 -72
28 -72
28 -72
28 -72
28 -72
28 -73
28 -74
28 -75
28 -75
28 -75
28 -75
28 -73
28 -72
28 -72
28 -72
28 -72
28 -72
28 -72
28 -72
29 -74
29 -70
29 -69
29 -68
29 -68
29 -72
29 -66
29 -66
29 -44
29 -66
29 -64
29 -64
29 -66
29 -66
29 -68
29 -71
29 -70
29 -70
29 -72
29 -72
29 -73
29 -68
29 -67
29 -65
29 -65
29 -64
29 -64
29 -66
29 -64
29 -64
29 -66
29 -66
29 -67
29 -67
29 -68
29 -67
29 -65
29 -64
29 -65
29 -66
29 -66
29 -67
29 -66
29 -66
29 -66
29 -65
29 -64
29 -64
29 -63
29 -64
29 -64
29 -65
29 -65
29 -64
29 -64
29 -64
29 -64
29 -64
29 -64
29 -64
29 -64
29 -64
29 -64
29 -64
29 -64
29 -64
29 -64
29 -65
29 -64
29 -64
29 -64
29 -64
29 -64
29 -64
29 -64
29 -64
29 -64
29 -64
29 -64
29 -64
30 -83
30 -76
30 -78
30 -80
30 -78
30 -75
30 -76
30 -75
30 -75
30 -76
30 -76
30 -77
30 -80
30 -79
30 -75
30 -75
30 -79
30 -85
30 -84
30 -80
30 -76
30 -75
30 -75
30 -75
30 -77
30 -83
30 -81
30 -82
30 -87
30 -84
30 -82
30 -80
30 -83
30 -84
30 -84
30 -83
31 -72
31 -73
31 -69
31 -70
31 -70
31 -69
31 -69
31 -68
31 -71
31 -72
31 -70
31 -72
31 -72
31 -72
31 -72
31 -72
31 -71
31 -73
31 -73
31 -72
31 -72
31 -74
31 -77
31 -75
31 -71
31 -70
31 -70
31 -70
31 -70
31 -70
31 -72
31 -75
31 -76
31 -78
31 -78
31 -78
31 -72
31 -71
31 -71
31 -70
31 -72
31 -73
31 -73
31 -73
31 -73
31 -74
31 -71
31 -71
31 -72
31 -72
31 -71
31 -70
31 -70
31 -68
31 -70
31 -69
31 -68
31 -68
31 -68
31 -68
31 -68
31 -67
31 -62
31 -67
31 -68
31 -68
31 -69
31 -69
31 -69
31 -69
31 -69
31 -69
31 -69
31 -69
31 -69
31 -69
31 -69
31 -69
31 -69
32 -78
32 -83
32 -81
32 -78
32 -82
32 -68
32 -82
32 -80
32 -77
32 -78
32 -76
32 -75
32 -79
32 -76
32 -82
32 -84
32 -82
32 -80
32 -79
32 -78
32 -80
32 -82
32 -80
32 -78
32 -78
32 -76
32 -79
32 -81
32 -82
32 -81
32 -85
32 -82
32 -80
32 -81
32 -83
32 -83
32 -84
32 -86
33 -78
33 -85
33 -81
33 -83
33 -82
33 -81
33 -81
33 -78
33 -80
33 -82
33 -70
33 -81
33 -82
33 -81
33 -81
33 -80
33 -83
33 -83
34 -82
34 -77
34 -78
34 -78
34 -80
34 -80
34 -80
34 -80
34 -79
34 -80
34 -80
34 -83
34 -82
34 -81
34 -80
34 -82
34 -80
34 -79
34 -80
34 -78
34 -78
34 -76
34 -76
34 -75
34 -76
34 -76
34 -79
34 -80
