Beacon Rssi
1 -81
1 -80
1 -81
1 -76
1 -83
1 -82
1 -78
1 -79
1 -82
1 -81
1 -84
1 -82
1 -81
1 -78
1 -77
2 -85
2 -81
3 -83
3 -82
3 -81
3 -80
3 -82
3 -82
3 -81
3 -80
3 -83
3 -81
4 -85
4 -82
4 -80
4 -78
4 -60
4 -77
4 -61
4 -76
4 -76
4 -76
4 -76
4 -77
4 -80
4 -77
4 -77
4 -77
4 -78
4 -81
4 -77
4 -77
4 -76
4 -76
4 -75
4 -75
4 -76
4 -69
4 -75
4 -75
4 -75
4 -78
4 -79
4 -81
5 -82
5 -80
5 -78
5 -81
5 -81
5 -78
5 -76
5 -78
5 -80
5 -80
5 -80
5 -76
5 -71
5 -72
5 -71
5 -73
5 -73
5 -72
5 -72
5 -71
5 -72
5 -70
5 -70
5 -70
5 -81
5 -78
5 -78
5 -76
5 -78
5 -74
5 -74
5 -77
5 -76
5 -75
5 -78
5 -77
5 -76
5 -78
5 -81
5 -77
5 -72
5 -73
5 -76
5 -76
6 -77
6 -78
6 -75
6 -78
6 -76
6 -78
6 -72
6 -75
6 -79
6 -74
6 -84
6 -82
6 -80
6 -82
6 -82
6 -82
6 -78
6 -78
6 -77
6 -77
6 -76
6 -76
6 -75
6 -74
6 -76
6 -76
6 -78
6 -80
6 -79
7 -82
7 -82
7 -78
7 -85
7 -82
7 -76
7 -83
7 -78
7 -82
7 -81
7 -81
7 -82
7 -83
7 -76
7 -76
7 -78
7 -76
7 -81
7 -84
7 -82
7 -83
8 -75
8 -75
8 -76
8 -75
8 -72
8 -76
8 -77
8 -78
8 -76
8 -75
8 -75
8 -76
8 -76
8 -78
8 -76
8 -76
8 -77
8 -77
8 -77
8 -78
8 -80
8 -78
8 -72
8 -75
8 -76
8 -76
8 -74
8 -75
8 -76
8 -75
8 -74
8 -76
8 -76
8 -77
8 -75
8 -74
8 -72
8 -74
8 -73
8 -73
9 -78
9 -83
9 -81
9 -80
9 -80
9 -79
9 -81
9 -81
9 -82
9 -80
9 -67
9 -80
9 -81
9 -82
9 -83
9 -79
9 -80
9 -81
9 -79
9 -79
9 -82
9 -81
9 -75
9 -77
9 -78
10 -83
10 -79
10 -77
10 -78
10 -78
10 -76
10 -75
10 -76
10 -79
10 -80
10 -78
10 -64
10 -79
10 -78
10 -82
10 -82
10 -80
10 -80
10 -80
10 -78
10 -76
10 -76
10 -76
10 -76
10 -76
10 -77
10 -81
10 -82
10 -80
10 -82
12 -83
12 -84
12 -84
12 -85
13 -80
13 -79
13 -78
13 -80
13 -78
13 -78
