Timestamp Beacon Rssi
0.011972 51 -72
0.020795 42 -81
0.023088 36 -80
0.024137 24 -82
0.024847 47 -78
0.027538 26 -77
0.030717 28 -77
0.038439 43 -78
0.048013 48 -78
0.058667 22 -78
0.059808 20 -81
0.0641 1 -78
0.07249 60 -81
0.074492 4 -58
0.078729 21 -72
0.090235 25 -75
0.090888 38 -83
0.09253 8 -72
0.094753 55 -69
0.096977 49 -78
0.098504 5 -75
0.100143 3 -72
0.101197 52 -73
0.105283 11 -80
0.108837 35 -82
0.118673 32 -78
0.119817 51 -70
0.125591 36 -74
0.126885 24 -84
0.127539 26 -74
0.145279 56 -74
0.151067 48 -77
0.164223 1 -76
0.168964 20 -78
0.177393 4 -57
0.179369 10 -79
0.18758 21 -73
0.190297 12 -74
0.196427 23 -85
0.197017 2 -83
0.199787 5 -73
0.201486 3 -66
0.202197 49 -77
0.217033 9 -76
0.225098 51 -75
0.226731 32 -78
0.22818 26 -73
0.234208 29 -72
0.253978 56 -75
0.269197 1 -72
0.278494 4 -57
0.294662 21 -72
0.295691 27 -77
0.298453 2 -82
0.301711 5 -72
0.302208 8 -71
0.306003 3 -68
0.309523 49 -76
0.317251 52 -71
0.317858 9 -76
0.332851 26 -73
0.334605 32 -77
0.336579 28 -80
0.341868 29 -70
0.358373 56 -74
0.362331 48 -76
0.37106 1 -69
0.376796 60 -77
0.378182 20 -76
0.381548 4 -58
0.385414 10 -73
0.399485 21 -72
0.401907 53 -77
0.405434 5 -69
0.407178 55 -67
0.409085 3 -65
0.410265 8 -70
0.410897 30 -83
0.419107 49 -76
0.42299 52 -71
0.424528 46 -77
0.426526 9 -74
0.433737 26 -71
0.44305 28 -79
0.449254 29 -67
0.45896 6 -75
0.461548 56 -76
0.467124 48 -76
0.479269 1 -68
0.485537 20 -77
0.486432 4 -54
0.491153 10 -74
0.492195 18 -78
0.506323 21 -73
0.51028 27 -75
0.511832 3 -65
0.517219 55 -69
0.519239 8 -69
0.522527 49 -76
0.529186 52 -71
0.53167 46 -76
0.532904 9 -76
0.543747 26 -74
0.545502 32 -74
0.550673 50 -82
0.553212 28 -76
0.555205 29 -66
0.565857 6 -66
0.567767 48 -76
0.569548 57 -70
0.571711 56 -76
0.584519 1 -66
0.587754 60 -76
0.590665 20 -77
0.593386 18 -78
0.595985 4 -53
0.601225 10 -76
0.610506 21 -74
0.613736 5 -70
0.614693 2 -71
0.619981 3 -66
0.624329 49 -76
0.628312 35 -83
0.634906 46 -75
0.639289 52 -71
0.647445 36 -80
0.653315 32 -74
0.655298 29 -65
0.658212 50 -82
0.662338 28 -75
0.667891 48 -76
0.668482 6 -76
0.675038 56 -76
0.692028 60 -72
0.694041 1 -67
0.694546 18 -81
0.696708 20 -77
0.704196 4 -54
0.717587 21 -75
0.721367 5 -69
0.72343 3 -66
0.727866 23 -80
0.734501 8 -69
0.736583 35 -74
0.741512 9 -74
0.748232 52 -76
0.75475 32 -74
0.755725 29 -66
0.75623 26 -79
0.757303 36 -79
0.763015 43 -83
0.76475 28 -79
0.766362 50 -82
0.780654 56 -76
0.79212 60 -70
0.79569 1 -66
0.799639 20 -77
0.808532 4 -56
0.814655 10 -83
0.819148 25 -82
0.821269 27 -75
0.825078 3 -66
0.827227 5 -69
0.833885 49 -79
0.837279 8 -69
0.840005 46 -74
0.848562 9 -72
0.850957 51 -77
0.852963 52 -79
0.859327 29 -67
0.861923 32 -74
0.883885 22 -81
0.890848 56 -76
0.894776 60 -70
0.905456 1 -77
0.908611 20 -77
0.910547 4 -58
0.914454 40 -83
0.917098 10 -83
0.925598 3 -64
0.928274 25 -80
0.928849 30 -83
0.933705 55 -76
0.934532 58 -79
0.935864 23 -81
0.936688 5 -70
0.940332 8 -69
0.943439 49 -78
0.948368 46 -75
0.958512 9 -73
0.965281 32 -73
0.969246 29 -68
0.984833 48 -77
0.994572 56 -69
1.007471 1 -78
1.011267 20 -77
1.013509 4 -58
1.02717 10 -78
1.028558 3 -68
1.030259 25 -74
1.032929 27 -76
1.035296 58 -80
1.039047 55 -72
1.044502 23 -82
1.046148 5 -70
1.050063 49 -79
1.054898 42 -85
1.056578 46 -78
1.064755 51 -78
1.066241 52 -81
1.067546 9 -73
1.072514 32 -73
1.074587 29 -68
1.076287 36 -81
1.08086 26 -82
1.086918 6 -79
1.090969 48 -78
1.092311 22 -81
1.095076 34 -79
1.099692 60 -71
1.103026 56 -78
1.115205 20 -80
1.116046 1 -78
1.119401 4 -58
1.129339 10 -76
1.133099 25 -76
1.135538 21 -76
1.136806 27 -79
1.138471 58 -79
1.14 2 -79
1.142405 55 -70
1.144294 31 -81
1.147311 23 -82
1.152511 8 -67
1.153726 49 -79
1.154633 5 -71
1.15905 42 -83
1.165977 51 -78
1.168684 52 -82
1.171147 9 -73
1.178372 29 -68
1.182482 36 -80
1.18875 6 -75
1.193656 48 -81
1.200856 22 -79
1.203896 34 -81
1.206529 60 -72
1.21297 13 -78
1.217817 1 -78
1.235085 25 -79
1.239784 58 -78
1.242566 3 -78
1.243535 21 -76
1.245424 31 -80
1.24674 55 -71
1.249706 2 -84
1.252103 23 -80
1.252731 53 -82
1.256343 5 -72
1.259379 8 -66
1.259936 42 -82
1.260564 49 -77
1.270556 51 -77
1.275512 9 -74
1.276833 52 -80
1.2792 32 -76
1.28414 29 -70
1.293135 28 -77
1.295068 6 -74
1.306107 22 -78
1.311069 34 -81
1.31654 60 -75
1.323169 56 -80
1.325142 1 -83
1.325713 7 -85
1.328298 20 -78
1.330208 4 -58
1.340511 10 -76
1.342881 27 -70
1.344027 25 -79
1.345822 31 -76
1.346957 58 -79
1.348176 55 -70
1.356924 5 -73
1.360057 53 -56
1.363173 42 -80
1.366517 49 -76
1.36701 8 -66
1.369645 16 -83
1.373854 46 -79
1.375228 51 -78
1.380069 52 -78
1.380788 32 -78
1.383204 9 -73
1.386818 59 -82
1.390581 33 -83
1.393387 29 -72
1.394568 36 -82
1.397572 6 -72
1.398567 28 -76
1.419401 34 -81
1.424325 13 -84
1.428358 56 -80
1.429598 1 -83
1.431625 20 -76
1.437503 4 -57
1.44332 10 -76
1.444426 25 -78
1.445253 3 -67
1.446892 30 -78
1.450223 55 -70
1.45239 58 -72
1.454153 31 -78
1.4608 5 -74
1.46604 53 -76
1.466775 42 -80
1.471035 49 -78
1.474069 46 -77
1.47553 11 -82
1.482218 51 -78
1.484848 32 -79
1.48535 52 -77
1.48849 24 -72
1.494028 29 -74
1.495517 50 -79
1.500685 6 -73
1.503329 28 -76
1.506041 26 -83
1.509497 22 -76
1.512582 48 -85
1.524956 34 -82
1.530789 1 -79
1.533366 20 -75
1.536537 56 -82
1.542296 4 -54
1.542779 40 -77
1.547083 25 -78
1.547716 10 -76
1.55096 12 -84
1.553729 30 -77
1.555228 21 -73
1.562178 23 -71
1.563431 31 -78
1.575748 42 -79
1.580498 49 -78
1.582917 11 -80
1.583828 8 -67
1.585443 52 -78
1.590459 51 -78
1.593459 9 -72
1.594248 32 -76
1.595372 29 -74
1.60162 36 -82
1.602578 6 -72
1.603301 50 -78
1.617513 44 -80
1.619477 22 -76
1.6282 60 -84
1.629931 34 -83
1.633201 1 -77
1.635473 20 -74
1.648825 25 -76
1.649866 4 -55
1.651197 10 -77
1.652874 41 -81
1.655287 30 -76
1.656482 21 -72
1.659228 55 -67
1.663995 2 -70
1.666155 58 -80
1.668223 31 -78
1.669625 23 -76
1.676175 53 -78
1.684508 42 -78
1.685382 49 -78
1.691062 8 -67
1.692318 11 -80
1.699309 29 -74
1.700257 51 -80
1.701462 24 -82
1.70234 9 -72
1.706228 36 -77
1.707858 6 -74
1.708763 28 -78
1.718644 44 -78
1.72018 22 -76
1.724413 26 -79
1.72872 60 -81
1.735551 1 -78
1.736371 34 -82
1.742645 20 -74
1.750658 25 -76
1.751638 4 -56
1.753247 40 -77
1.757485 10 -78
1.758834 3 -67
1.759932 55 -67
1.764443 30 -74
1.771504 2 -69
1.772216 5 -73
1.773951 27 -81
1.774732 58 -80
1.776615 31 -77
1.783653 53 -77
1.786757 49 -79
1.791641 52 -79
1.796595 46 -78
1.797808 8 -66
1.799064 11 -81
1.801025 32 -76
1.804485 24 -82
1.807022 36 -77
1.811435 9 -72
1.818011 28 -81
1.824118 22 -76
1.82809 48 -83
1.828868 44 -78
1.832933 60 -81
1.837013 34 -81
1.846277 20 -75
1.854866 40 -77
1.855638 4 -58
