Timestamp Beacon Rssi
0.00139 26 -72
0.028214 30 -72
0.060753 21 -70
0.065154 47 -81
0.089886 19 -70
0.120977 56 -75
0.133653 9 -72
0.148969 35 -82
0.156661 25 -69
0.1614 49 -71
0.176858 6 -74
0.17944 23 -70
0.183285 7 -66
0.184461 24 -78
0.195758 60 -69
0.221549 53 -69
0.247521 36 -78
0.254944 52 -78
0.268005 17 -80
0.27799 2 -66
0.278832 31 -72
0.2918 5 -68
0.29665 29 -69
0.316666 48 -78
0.336672 51 -66
0.367778 12 -66
0.399852 40 -60
0.412694 4 -58
0.477757 28 -76
0.521271 33 -82
0.550103 10 -76
0.561648 27 -69
0.586805 43 -82
0.589985 19 -67
0.680485 23 -72
0.681191 8 -67
0.689455 7 -65
0.69095 14 -81
0.74976 32 -83
0.779559 3 -64
0.78817 1 -66
0.79068 42 -76
0.792385 5 -69
0.800835 29 -67
0.827819 50 -80
0.840649 51 -68
0.871389 12 -66
0.88106 55 -63
0.905503 40 -60
0.957904 22 -78
1.006406 26 -70
1.035859 30 -71
1.070781 21 -69
1.091456 19 -67
1.127794 56 -74
1.143368 9 -72
1.158969 25 -70
1.184642 23 -74
1.195563 7 -65
1.198883 60 -70
1.223582 53 -69
1.253725 36 -78
1.264725 52 -77
1.284752 2 -67
1.286591 31 -72
1.301937 29 -67
1.339848 45 -76
1.379883 12 -67
1.410787 40 -60
1.42022 4 -60
1.458766 22 -80
1.483199 28 -82
1.553507 10 -76
1.563858 27 -69
1.596925 19 -68
1.687555 8 -67
1.689837 23 -72
1.694467 14 -81
1.701275 7 -65
1.784783 3 -64
1.797106 42 -76
1.79828 1 -66
1.808532 29 -67
1.809666 5 -70
1.83687 50 -78
1.852386 51 -69
1.883738 12 -67
1.888127 55 -63
1.91125 40 -60
1.967257 22 -80
2.012856 26 -70
2.044969 30 -71
2.069698 47 -82
2.076689 21 -69
2.106116 19 -68
2.134397 56 -75
2.148597 9 -72
2.159641 35 -83
2.161369 25 -70
2.169588 49 -72
2.184294 6 -74
2.194787 23 -72
2.197011 54 -82
2.201219 24 -76
2.204149 7 -63
2.260326 36 -78
2.289376 31 -72
2.290874 2 -68
2.315249 29 -68
2.317819 5 -70
2.342947 48 -79
2.346508 45 -77
2.357859 51 -68
2.417236 40 -60
2.421491 4 -60
2.476937 22 -76
2.486262 28 -78
2.523861 44 -80
2.555601 58 -83
2.570217 27 -71
2.598341 43 -80
2.610457 19 -69
2.690776 8 -68
2.698151 23 -72
2.699022 14 -81
2.711021 7 -65
2.759046 11 -83
2.787016 3 -63
2.797183 42 -76
2.815619 29 -69
2.825179 5 -70
2.838627 50 -80
2.85083 48 -78
2.857899 51 -68
2.890921 55 -62
2.893676 12 -66
2.921391 40 -60
2.985886 22 -76
3.014515 26 -71
3.048555 30 -71
3.075632 47 -82
3.08214 21 -70
3.111561 19 -70
3.140756 56 -76
3.151568 9 -71
3.164779 35 -83
3.169323 25 -70
3.179403 49 -72
3.185127 6 -72
3.197995 54 -81
3.19941 23 -72
3.208002 60 -69
3.209659 24 -76
3.221066 7 -66
3.2325 53 -69
3.262533 36 -78
3.280442 52 -76
3.285516 17 -81
3.289811 31 -72
3.300291 2 -68
3.322001 29 -68
3.333606 5 -70
3.350208 45 -76
3.363188 51 -69
3.398782 12 -68
3.421693 4 -60
3.424447 40 -60
3.490086 28 -79
3.491172 22 -79
3.527108 44 -80
3.561597 10 -76
3.565225 58 -84
3.574441 27 -71
3.607695 43 -81
3.617457 19 -70
3.691129 8 -67
3.701217 23 -72
3.725862 7 -66
3.796481 3 -64
3.798238 42 -76
3.805286 1 -66
3.827894 29 -67
3.837944 5 -70
3.839103 50 -78
3.842914 46 -83
3.847699 20 -83
3.857074 48 -84
3.869514 51 -70
3.898018 55 -63
3.902577 12 -69
3.929976 40 -61
3.993104 34 -84
3.997436 22 -81
4.020904 26 -71
4.053179 30 -72
4.08297 47 -78
4.119203 19 -79
4.140982 56 -76
4.151823 9 -73
4.166957 35 -81
4.169769 25 -74
4.182902 49 -75
4.194659 6 -73
4.203635 23 -71
4.20795 54 -72
4.216101 60 -70
4.21935 24 -48
4.271209 36 -76
4.282747 52 -71
4.29049 31 -73
4.306259 2 -63
4.332566 29 -70
4.345273 5 -74
4.357694 48 -70
4.377703 51 -75
4.403167 12 -81
4.429128 4 -57
4.439105 40 -62
4.482959 59 -78
4.493789 28 -70
4.508215 22 -76
4.535024 44 -76
4.616256 43 -79
4.623208 19 -73
4.696029 8 -64
4.704832 23 -72
4.713289 14 -82
4.735302 7 -66
4.768275 11 -76
4.797342 3 -62
4.798407 42 -78
4.80917 1 -70
4.832875 29 -75
4.841654 50 -76
4.854738 5 -75
4.855246 20 -81
4.866522 48 -69
4.903925 55 -65
4.90577 12 -70
4.942161 40 -62
5.000501 34 -79
