Timestamp Beacon Rssi
0.011116 2 -79
0.049483 16 -83
0.051347 7 -84
0.056741 4 -64
0.064556 3 -65
0.069184 48 -84
0.122072 6 -72
0.135625 46 -74
0.136853 54 -80
0.138274 22 -80
0.140765 53 -80
0.145826 5 -66
0.173579 8 -69
0.179562 50 -80
0.182559 51 -79
0.185916 55 -78
0.19439 32 -79
0.208596 9 -74
0.215835 41 -83
0.22949 43 -82
0.237183 33 -81
0.246688 27 -78
0.252361 45 -78
0.295504 26 -73
0.385185 49 -73
0.412516 20 -79
0.413945 56 -76
0.429905 47 -85
0.431924 21 -78
0.453887 29 -73
0.455301 52 -76
0.458657 30 -83
0.468176 34 -82
0.47089 60 -82
0.481804 25 -72
0.52086 2 -77
0.553885 16 -82
0.555045 7 -84
0.557606 4 -64
0.566013 36 -84
0.569961 3 -66
0.627357 6 -71
0.641125 46 -74
0.646042 54 -79
0.64992 5 -68
0.662971 31 -81
0.676792 8 -69
0.69267 51 -79
0.711288 9 -74
0.734533 43 -83
0.745947 33 -82
0.751241 27 -77
0.758102 45 -78
0.786467 24 -84
0.800545 26 -73
0.93352 21 -78
0.961307 29 -74
0.965501 52 -76
0.968369 30 -82
0.975109 34 -80
0.97581 60 -84
0.984683 25 -72
0.991906 17 -86
0.996191 12 -85
1.024928 2 -77
1.056821 7 -83
1.063536 16 -83
1.065245 4 -63
1.072243 36 -83
1.080004 3 -66
1.128919 6 -71
1.147175 46 -75
1.14958 22 -79
1.150837 54 -79
1.152061 5 -69
1.163738 31 -81
1.16626 15 -86
1.185223 8 -70
1.188253 55 -77
1.195236 50 -81
1.201055 32 -52
1.201652 51 -78
1.208058 9 -75
1.23506 43 -83
1.251111 33 -82
1.251644 27 -77
1.267016 45 -79
1.301008 26 -73
1.337485 40 -83
1.390088 49 -73
1.391778 1 -79
1.42275 20 -76
1.44302 21 -78
1.468696 29 -75
1.471674 52 -76
1.477159 60 -81
1.479876 34 -81
1.499558 12 -85
1.532658 2 -77
1.561557 7 -82
1.572029 4 -61
1.574415 36 -83
1.583587 48 -83
1.586324 3 -66
1.638201 6 -73
1.652031 54 -75
1.653947 53 -78
1.655935 22 -70
1.664109 31 -79
1.692076 55 -76
1.694417 8 -71
1.698388 50 -82
1.709962 51 -78
1.710505 9 -76
1.737858 41 -83
1.757846 27 -76
1.759967 33 -82
1.770102 45 -81
1.806049 26 -74
1.840054 40 -82
1.894216 1 -85
1.898491 49 -73
1.923152 20 -79
1.931907 56 -74
1.937556 47 -83
1.950476 21 -78
1.973491 29 -76
1.979432 30 -83
1.979983 52 -77
1.982263 34 -81
1.997996 11 -83
2.001334 25 -71
2.004452 12 -83
2.03633 2 -79
2.038889 44 -85
2.062356 7 -83
2.074847 36 -84
2.081073 4 -59
2.088571 48 -84
2.09478 3 -66
2.112237 28 -83
2.147575 6 -74
2.154696 46 -79
2.158536 22 -79
2.159449 53 -76
2.160915 54 -82
2.163423 5 -72
2.169393 31 -78
2.174122 15 -85
2.200381 50 -83
2.201239 55 -76
2.201994 8 -72
2.21043 51 -77
2.212098 9 -76
2.215166 32 -79
2.239453 41 -84
2.248931 43 -82
2.265694 27 -76
2.270013 33 -83
2.279901 45 -81
2.284076 19 -86
2.301935 24 -84
2.314874 26 -75
2.330373 42 -85
2.343751 40 -82
2.395021 1 -76
2.401217 49 -74
2.425721 20 -80
2.437624 47 -81
2.438382 56 -74
2.452591 21 -78
2.483352 29 -76
2.485269 30 -83
2.485992 34 -82
2.488097 60 -83
2.489207 52 -78
2.505378 12 -83
2.540421 44 -81
2.542992 2 -56
2.569351 7 -82
2.578025 36 -83
2.582547 4 -58
2.602779 3 -66
2.618224 28 -80
2.652921 6 -77
2.664886 54 -81
2.665931 5 -77
2.66721 53 -76
2.673882 31 -78
2.685258 23 -84
2.703262 55 -75
2.706524 50 -82
2.710654 51 -76
2.711737 8 -75
2.755775 43 -82
2.769546 27 -74
2.77951 33 -82
2.7843 45 -82
2.818206 26 -76
2.899024 1 -78
2.907177 49 -74
2.926123 20 -79
2.942264 56 -73
2.946054 47 -79
2.955866 21 -78
2.99068 29 -76
2.992327 52 -80
2.993883 30 -83
2.994817 34 -82
2.996252 60 -81
3.009782 12 -82
3.013683 25 -70
3.01584 11 -82
3.069905 7 -81
3.083035 36 -83
3.086402 4 -58
3.107451 3 -67
3.128055 28 -79
3.154299 6 -80
3.167859 22 -79
3.174147 53 -76
3.183591 31 -77
3.188225 23 -83
3.208245 55 -74
3.211263 50 -82
3.214279 8 -76
3.21634 51 -76
3.222594 32 -81
3.224041 9 -79
3.258804 43 -82
3.271505 27 -73
3.279791 33 -83
3.289522 45 -82
3.306105 39 -87
3.318035 24 -85
3.323033 26 -76
